site,mse,rmse,r2_score,relative_error,mae
US-Myb,0.0003933944,0.019834172,0.6584234237670898,0.02131862,0.011661373
US-NC1,0.0003568453,0.01889035,0.8299126625061035,0.020817894,0.011704394
US-NC4,0.0007481466,0.02735227,0.6649833917617798,0.030046849,0.016087506
US-NR1,8.7416294e-05,0.009349668,0.8126901984214783,0.009977398,0.0052960124
US-ONA,0.0013968707,0.037374735,-0.1621688604354858,0.042308602,0.023838073
US-OWC,0.0004687761,0.021651238,0.6691181659698486,0.027505418,0.014824987
US-Oho,0.0003575605,0.01890927,0.8435149192810059,0.018890955,0.010691496
US-Prr,0.0002234849,0.014949411,-0.7901831865310669,0.012575709,0.0065976516
US-Ro1,0.0006043815,0.024584172,0.6551322937011719,0.017409397,0.010010891
US-Ro4,0.00023153673,0.015216331,0.8389636278152466,0.013385134,0.0074631074
US-Ro5,0.00061771565,0.024853885,0.6810146570205688,0.017693944,0.010223616
US-Ro6,0.0003976857,0.019942058,0.6451488733291626,0.01653386,0.00916567
US-SRC,2.7110147e-05,0.0052067405,-0.0626441240310669,0.0057065953,0.00289513
US-SRG,8.188186e-05,0.00904886,0.6223107576370239,0.008116105,0.0042893505
US-SRM,5.2746418e-05,0.0072626728,0.4761984944343567,0.007529891,0.0038902014
US-Seg,2.7335322e-05,0.005228319,0.3262147307395935,0.0052994797,0.002716608
US-Ses,1.1902413e-05,0.0034499874,0.2660032510757446,0.003925214,0.0019905297
US-Sne,0.0005836557,0.024158968,-0.4175599813461303,0.02908478,0.015124182
US-Snf,0.000383647,0.01958691,0.6217533349990845,0.020543953,0.01143119
US-Syv,0.00028414297,0.01685654,0.7560204267501831,0.018575186,0.009880348
US-Ton,0.00016567108,0.012871328,0.6664918661117554,0.0133728385,0.0069458387
US-Tw3,0.00090682216,0.030113488,0.6018401384353638,0.028888283,0.017073719
US-Tw4,0.00023722845,0.015402222,0.1987034678459167,0.017624078,0.0090958495
US-Twt,0.0007772677,0.027879521,0.6017869710922241,0.026432816,0.014983641
US-Var,0.0002488622,0.015775368,0.5904941558837891,0.018375687,0.009487813
US-WCr,0.00024656,0.015702229,0.8189555406570435,0.0156143475,0.008369005
US-WPT,0.00010999244,0.010487728,0.7796285152435303,0.012141748,0.006326902
US-Whs,2.2106433e-05,0.004701748,0.1494418382644653,0.0058502983,0.0029575953
US-Wi0,0.00042161022,0.02053315,0.7335211634635925,0.020774137,0.011257996
US-Wi1,0.0014524728,0.03811132,0.6657638549804688,0.038857147,0.023147399
US-Wi2,0.0003118114,0.017658181,0.5763559341430664,0.0182294,0.009641238
US-Wi3,0.00038981144,0.019743644,0.7988206148147583,0.021699103,0.01181826
US-Wi4,0.0004179374,0.020443518,0.7756738066673279,0.022465508,0.012228008
US-Wi5,0.0003080527,0.01755143,0.7131417989730835,0.01680749,0.008876746
US-Wi6,0.00047761717,0.021854455,-0.0289347171783447,0.024575507,0.012764681
US-Wi7,0.00069963426,0.0264506,0.1109741330146789,0.03338422,0.017635806
US-Wi8,0.0005641633,0.023752123,0.278919517993927,0.02917661,0.015541433
US-Wi9,0.0008615235,0.02935172,-0.1607420444488525,0.034897853,0.01843141
US-Wjs,7.953197e-05,0.00891807,0.3962101936340332,0.009657195,0.005066528
