site,mse,rmse,r2_score
AR-SLu,0.0031303812,0.05594981,0.9358458518981934
AT-Neu,0.0022045388,0.046952516,0.8427926301956177
AU-ASM,0.0008631559,0.029379515,0.758525013923645
AU-Cpr,0.0024949873,0.049949847,-1.2198660373687744
AU-Cum,0.00041617782,0.020400437,0.7722778916358948
AU-DaP,0.0018443965,0.042946436,0.8171321153640747
AU-DaS,0.00072209677,0.026871858,0.7619367241859436
AU-Dry,0.0011163692,0.03341211,0.851992666721344
AU-Emr,0.003909031,0.06252224,0.2153218984603881
AU-GWW,0.002978725,0.054577697,0.707241415977478
AU-Gin,0.004065047,0.06375772,0.9039917588233948
AU-How,0.0006272887,0.025045732,0.8677950501441956
AU-Lox,0.0012599567,0.03549587,0.5941236019134521
AU-RDF,0.0038034965,0.061672494,-5.745886325836182
AU-Rig,0.007234868,0.085058026,0.7049437761306763
AU-Rob,0.0033859746,0.058189128,0.773628830909729
AU-Stp,0.0017345068,0.041647412,0.714142918586731
AU-TTE,0.0015525459,0.03940236,0.1666367650032043
AU-Wac,0.0042589917,0.065260954,0.2036616206169128
AU-Whr,0.000705463,0.026560554,0.910301923751831
AU-Wom,0.0023641763,0.0486228,0.910761058330536
AU-Ync,0.0015889115,0.039861154,-0.2266205549240112
BE-Bra,0.001089262,0.033003967,0.6875655651092529
BE-Dor,0.0012976223,0.036022525,0.904001772403717
BE-Lcr,0.0023755608,0.048739724,0.7783872485160828
BE-Lon,0.0053361445,0.07304892,0.563262939453125
BE-Maa,0.0032498108,0.05700711,0.7086936235427856
BE-Vie,0.001212347,0.034818772,0.8950074315071106
BR-Npw,0.0035615468,0.059678696,0.5542669296264648
BR-Sa3,0.006338426,0.07961423,0.7539299130439758
CA-ARB,0.0027494987,0.052435663,0.8325538039207458
CA-ARF,0.0014322749,0.037845407,0.9178649187088012
CA-DB2,0.000119616605,0.010936937,0.1150248646736145
CA-DBB,6.0187427e-05,0.007758056,0.5014011859893799
CA-Gro,0.0007350091,0.027111052,0.8597251772880554
CA-LP1,0.0029220867,0.054056328,0.7040807008743286
CA-NS1,0.0017572801,0.041919924,0.8793336749076843
CA-NS2,0.0011865372,0.03444615,0.8967009782791138
CA-NS3,0.0009638713,0.031046277,0.884345293045044
CA-NS4,0.0010577379,0.032522883,0.864517331123352
