site,mse,rmse,r2_score,relative_error,mae
US-A32,0.0018193545,0.042653892,0.7671225666999817,1.5627241,0.02612852
US-AR1,0.0010363485,0.032192368,0.2926258444786072,2.781228,0.016208887
US-AR2,0.001437807,0.037918426,0.2810381650924682,4.207085,0.020991022
US-ARM,0.0020151904,0.044890873,0.6699755191802979,2.5538173,0.025733111
US-ARb,0.0018046033,0.04248062,0.4800571799278259,2.0229135,0.026295735
US-ARc,0.0050028586,0.07073089,0.4671883583068847,4.263242,0.041628566
US-Atq,0.0033173198,0.057596177,0.7503255009651184,2.3047311,0.03396231
US-BZB,0.00038164004,0.01953561,0.9001226425170898,0.9527097,0.011631278
US-BZF,0.0007495785,0.027378432,0.8407950401306152,1.7494155,0.015961688
US-BZS,0.0012649522,0.035566166,0.7735081315040588,1.2819791,0.019791277
US-BZo,0.0013202203,0.036334835,0.6300256252288818,16.486252,0.020345733
US-Bi1,0.009559507,0.09777273,0.6166884899139404,3.0836997,0.05506307
US-Bi2,0.002405197,0.049042806,0.8555036783218384,1.3038682,0.024070447
US-Blo,0.0022198514,0.0471153,0.8939645886421204,0.7717191,0.028324958
US-CF1,0.004271073,0.065353446,0.6914640665054321,1.9504371,0.026576826
US-CF2,0.0032447714,0.056962896,0.8330497145652771,1.2478166,0.02822627
US-CF3,9.8236516e-05,0.009911434,0.2325184941291809,3.9913058,0.0053675123
US-CF4,0.0026082422,0.05107095,0.7911593914031982,0.91810834,0.022960449
US-CRT,0.015383714,0.124031104,-2.149484872817993,2.4702494,0.06434383
US-CS1,0.00017966749,0.01340401,0.4894405603408813,1.4712782,0.007959536
US-CS3,0.0007591604,0.027552865,0.5397695302963257,1.5168324,0.016094828
US-CS4,0.00015327781,0.012380541,-2.517620325088501,0.16922827,0.00789666
US-EDN,0.0032429895,0.056947254,0.7568708658218384,1.0410974,0.036177486
US-GLE,0.0007084181,0.026616124,0.8810306191444397,2.1855066,0.015941024
US-Goo,0.0025608514,0.050604854,0.796244740486145,1.5707189,0.031239001
US-HB1,0.0007125948,0.026694471,0.4838853478431701,1.9215822,0.016726568
US-HWB,0.001033406,0.032146633,0.5310016870498657,2.2417634,0.016448079
US-Hn3,0.0002507632,0.015835505,0.2058271169662475,1.2700326,0.0103264
US-Ho2,0.0012288704,0.035055246,0.8095876574516296,0.9915674,0.019705694
US-IB2,0.0005068243,0.022512758,0.9057802557945251,0.66650105,0.012237106
US-ICs,0.0001120898,0.010587247,0.810169517993927,2.745771,0.0056944783
US-ICt,5.3410728e-05,0.0073082643,0.6635137796401978,1.2424804,0.003176449
US-Ivo,0.0032470895,0.05698324,0.8710286021232605,2.500742,0.0402194
US-Jo2,0.0010638162,0.032616194,0.2036350965499878,3.6693962,0.014993727
US-KFS,0.00067918166,0.026061114,0.658476710319519,1.5588723,0.014674844
US-KLS,0.00079092366,0.028123366,0.6513550281524658,1.6959795,0.017000005
US-KS1,0.0005819215,0.024123048,0.8793152570724487,0.5959346,0.012647659
US-KS2,0.0013804475,0.037154373,0.8608192205429077,3.507199,0.023425002
US-KS3,0.0003048598,0.017460234,0.5615043640136719,12.3596525,0.009524847
US-LWW,0.003845812,0.062014613,-0.6722670793533325,4.363104,0.03801207
US-Lin,0.008190257,0.090500034,0.4338770508766174,2.8551996,0.06255381
US-Los,0.00088363135,0.029725937,0.8837460875511169,1.1274087,0.016564475
US-MOz,0.0007394734,0.02719326,0.8561446666717529,2.9935448,0.015510637
US-Me1,0.0027953575,0.05287114,0.6571001410484314,1.2046309,0.032473143
US-Me2,0.0008390094,0.02896566,0.8638416528701782,3.2471025,0.017840846
US-Me3,0.001464892,0.03827391,0.7743501663208008,2.8235826,0.025578322
US-Me4,0.0027764258,0.0526918,0.2392579913139343,8.822238,0.04062185
US-Me5,0.0040897825,0.06395141,0.827546238899231,1.3840144,0.04135588
US-Me6,0.0022036135,0.046942662,0.8189284801483154,1.759557,0.03176835
US-Mpj,0.003934009,0.06272168,0.0651727318763732,4.344732,0.038062334
US-Myb,0.002941902,0.054239303,0.7892645001411438,1.2912657,0.029400239
US-NC1,0.0034041603,0.058345184,0.751992404460907,0.8889971,0.03850788
US-NC4,0.0010183272,0.03191124,0.7967791557312012,1.0026448,0.019618358
US-NR1,0.0014710596,0.038354397,0.9245010614395142,0.64079875,0.022165239
US-ONA,0.00046002405,0.02144817,0.8736929893493652,1.0351415,0.011611518
US-OWC,0.0013130727,0.036236346,0.7564120888710022,1.2924281,0.024796994
US-Oho,0.0011287114,0.0335963,0.9282177686691284,0.7104805,0.018959507
US-Prr,0.0006029623,0.02455529,0.859925389289856,1.5828031,0.014193435
US-Ro1,0.0013754711,0.037087344,0.8083419799804688,0.8411462,0.013135035
US-Ro4,0.00074700586,0.027331408,0.933891236782074,2.3059518,0.013928894
US-Ro5,0.0013411184,0.036621284,0.9105917811393738,1.1970778,0.015424599
US-Ro6,0.00215611,0.046433933,0.6637294292449951,1.4327139,0.023162052
US-SRC,0.0008517445,0.029184662,0.3517214059829712,3.0498385,0.017243002
US-SRG,0.0013584371,0.036856983,0.7143661975860596,3.8101616,0.019106848
US-SRM,0.00076351984,0.027631862,0.7021653652191162,2.5622432,0.014929282
US-Seg,0.0014383217,0.03792521,0.4362338185310364,2.9451149,0.020133737
US-Ses,0.001721798,0.041494552,0.2166815400123596,2.7443132,0.02299725
US-Sne,0.0027970772,0.052887402,0.3724220991134643,2.1088083,0.032479953
US-Snf,0.008439392,0.091866165,0.7178081274032593,0.7858898,0.055489648
US-Syv,0.0026415535,0.051396046,0.8629813194274902,2.2440503,0.03198655
US-Ton,0.00035378776,0.018809246,0.6825778484344482,2.7998073,0.010635453
US-Tw3,0.004861401,0.06972375,0.5584901571273804,4.6136904,0.039147593
US-Tw4,0.006636411,0.08146417,0.4179515838623047,0.77326393,0.048389852
US-Twt,0.0028926886,0.053783722,0.8005203008651733,1.0932297,0.027963564
US-Var,0.0002956579,0.017194705,0.8639644384384155,1.2178645,0.008312162
US-WCr,0.00092104764,0.030348767,0.8824651837348938,0.95299864,0.015672322
US-WPT,0.0016487086,0.040604293,0.7523901462554932,1.739051,0.024430921
US-Whs,0.0007466039,0.027324053,0.3953065872192383,3.2972457,0.01672392
US-Wi0,9.235954e-05,0.0096103875,-1.275676965713501,0.27484915,0.006824264
US-Wi1,0.0011373991,0.033725347,-2.7765512466430664,0.23900636,0.027260154
US-Wi2,0.00070211536,0.026497459,-6.097311496734619,4.8611665,0.017745666
US-Wi3,0.001551297,0.039386507,0.8037097454071045,0.73218316,0.021552736
US-Wi4,0.0019620508,0.044295043,0.7606607675552368,2.7441356,0.026852082
US-Wi5,0.00010583767,0.010287744,-0.233349323272705,0.2599312,0.0060750702
US-Wi6,0.0009125284,0.030208085,-0.112586498260498,1.4370126,0.015986783
US-Wi7,0.0019797767,0.04449468,-0.5886762142181396,0.8892877,0.028563157
US-Wi8,0.0009737451,0.031204889,-0.1927006244659423,0.27559036,0.016677555
US-Wi9,0.0030352068,0.05509271,0.3008838295936584,3.1172957,0.03673522
US-Wjs,0.0009290136,0.030479724,0.7639188766479492,2.662338,0.01717554
US-Wkg,0.0010881205,0.03298667,0.7504647374153137,2.2372673,0.018093
US-xAE,0.0018519528,0.04303432,0.821952223777771,21.911556,0.021029469
US-xBR,0.0008480803,0.029121818,0.8673478960990906,1.9118556,0.016943526
US-xCL,0.00036057457,0.018988801,0.8055270910263062,0.8149795,0.0097826915
US-xCP,0.00097236113,0.031182706,0.6026582717895508,2.372379,0.01716328
US-xDC,0.0007030106,0.026514348,0.7064436078071594,1.0296149,0.0137535315
US-xDL,0.0016036101,0.0400451,0.8746208548545837,0.86301047,0.025680361
US-xDS,0.000957385,0.03094164,0.9198546409606934,0.530918,0.017997244
US-xGR,0.0035717017,0.059763715,0.8514710664749146,1.1981355,0.037199125
US-xHA,0.0013900058,0.037282784,0.8983669281005859,0.9054742,0.0228968
US-xHE,0.0003692284,0.019215317,0.9034243822097778,0.5877573,0.010000697
US-xJE,0.0014882137,0.038577374,0.8324780464172363,405.62598,0.024025839
US-xKA,0.004473752,0.06688611,-0.1011502742767334,3.1597688,0.03195259
US-xKZ,0.0007625357,0.02761405,0.8975448608398438,1.0706708,0.014553349
US-xMB,0.0011489448,0.03389609,-0.4295381307601928,2.4993634,0.024438063
US-xML,0.0002578447,0.016057543,0.6746073365211487,0.63446695,0.007589834
US-xNG,0.00044348268,0.021059029,0.6694730520248413,1.2305609,0.011657936
US-xNQ,0.0012436839,0.035265904,0.325059175491333,1.4394306,0.021084975
US-xRM,0.001104541,0.033234637,0.841148853302002,0.979444,0.020099418
US-xSB,0.0006074658,0.02464682,0.911163866519928,0.9047188,0.014655796
US-xSE,0.0010188583,0.03191956,0.84722501039505,1.8716307,0.01859841
US-xSR,0.00068560377,0.026184037,0.5672498941421509,1.8451864,0.012523808
US-xST,0.0010760445,0.03280312,0.9351562857627868,2.0010943,0.018046673
US-xTA,0.00059422466,0.024376724,0.8727622032165527,0.6215971,0.015509368
US-xTR,0.0009603223,0.030989068,0.9056817293167114,0.8915617,0.017419983
US-xUK,0.0007659842,0.027676418,0.8718039989471436,1.451319,0.016464507
US-xUN,0.0009407521,0.030671682,0.9074710607528688,3.0182395,0.01609646
US-xYE,0.0008797471,0.02966053,0.7491785287857056,2.4515803,0.016306767
ZM-Mon,0.0010333878,0.03214635,0.8711562752723694,1.489097,0.021970067
