cluster,mse,rmse
0,0.0170149989426136,0.1304415537419483
1,0.0204336289316415,0.1429462449022064
2,0.0174605287611484,0.132138294075368
3,0.0225043147802352,0.1500143819113197
4,0.0178591143339872,0.1336379973435221
5,0.0121714686974883,0.1103243794339596
6,0.0140723548829555,0.1186269568140207
7,0.0221761539578437,0.1489166006791848
8,0.0160589311271905,0.1267238380384313
9,0.0184713993221521,0.1359095262376855
