cluster,test_loss,mse,r2,relative_error,mae,rmse
4,0.0003179562045261264,0.0003179559134878218,0.6321616172790527,2.5277345180511475,0.011476954445242882,0.017831318080425262
3,0.0005701232585124671,0.0005701224436052144,0.6035312414169312,2.783046007156372,0.011993087828159332,0.023877236992120743
1,0.0005926245357841253,0.0005926260491833091,0.4399647116661072,4.588441371917725,0.014927972108125687,0.024343911558389664
9,0.000511940976139158,0.000511936261318624,0.5644972324371338,4.875216960906982,0.015254493802785873,0.022626008838415146
7,0.0008768538245931268,0.0008768542320467532,-4.072937488555908,1.938982367515564,0.007279001176357269,0.029611725360155106
0,0.0005052881315350533,0.0005052909255027771,0.5313041806221008,3.91038179397583,0.015074926428496838,0.022478677332401276
5,0.0008003562106750906,0.0008003609254956245,0.5497764348983765,7.857447624206543,0.019407298415899277,0.028290651738643646
6,0.0005477117956615984,0.0005477113300003111,0.5811122059822083,inf,0.015152990818023682,0.023403232917189598
8,0.0005518280668184161,0.000551827484741807,0.6621891260147095,3.608496904373169,0.014675102196633816,0.023491008207201958
2,0.0003648096462711692,0.0003648108395282179,0.5660132169723511,3.225344181060791,0.01200282946228981,0.019100021570920944
