site,ensemble_mse_scaled,full_mse_scaled,ensemble_rmse_scaled,full_rmse_scaled,ensemble_r2,full_r2,ensemble_relative_error,full_relative_error,ensemble_mae,full_mae,G_hat_count,O_hat_count,O_hat
US-xSB,0.0006105854438991,0.0006105767,0.0247100271934114,0.02470985,0.9107076226648648,0.9107089042663574,0.0317996292325899,0.03179937,0.0143254389405164,0.014325275,14,2,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
US-xSE,0.0012963153294368,0.0012847419,0.0360043793091462,0.035843298,0.8056210794603816,0.8073564767837524,0.0525234442357747,0.052513883,0.0208656847954433,0.020874599,14,2,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
US-xSR,0.0011944030593394,0.0011942791,0.0345601368535981,0.034558345,0.2460978943048091,0.2461762428283691,0.0164250333972772,0.016423017,0.015093813781385,0.015092134,14,2,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
US-xST,0.0035331624364222,0.0031402267,0.0594404108029397,0.056037724,0.7870875341129491,0.8107662796974182,0.0974515724088688,0.095682435,0.0298262335737413,0.028995097,14,2,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'IGBP_veg_short', 'LST_TERRA_Day']]"
US-xTA,0.0006192396822381,0.0006192303,0.0248845269643232,0.02488434,0.8674058958292367,0.8674079179763794,0.0437035062337263,0.043703537,0.0153502540538796,0.015350239,14,2,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
US-xTR,0.0020367508909146,0.0020367152,0.0451303765873343,0.04512998,0.7999600654927955,0.7999635934829712,0.0498531923158186,0.049853,0.0246879168570678,0.024687836,14,2,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
US-xUK,0.0009233866562271,0.000923541,0.030387277868002,0.030389817,0.8454609929928409,0.8454351425170898,0.0400980044747329,0.040098015,0.0181462025388236,0.01814597,14,2,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
US-xUN,0.0022736278756232,0.0022740008,0.0476825741295833,0.047686484,0.7763742747924075,0.7763376235961914,0.0732538720755565,0.07325764,0.0236759830266549,0.023678133,14,2,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
US-xYE,0.0015252008242595,0.0015268829,0.039053819586048,0.03907535,0.5651555157770348,0.5646759271621704,0.0441589677311627,0.04417113,0.0195196549068623,0.01953044,14,2,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
ZM-Mon,0.0014913441803276,0.0014913132,0.0386179256347052,0.038617525,0.814057881183623,0.8140617609024048,0.0495864954516764,0.049583383,0.0251608000911829,0.025159633,14,2,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
