cluster,mse,rmse
1,0.0177740156650543,0.1333192246641658
2,0.0173760931938886,0.1318184099201954
3,0.0141410594806075,0.1189161867897197
4,0.0193025767803192,0.13893371362027
5,0.0138165699318051,0.1175439064001411
6,0.0179104339331388,0.1338298693608375
7,0.0118608269840478,0.1089074239161311
8,0.0156163731589913,0.1249654878716173
9,0.01445191539824,0.1202161195440948
