site,ensemble_mse_scaled_no_stability,full_mse_scaled_no_stability,ensemble_rmse_scaled_no_stability,full_rmse_scaled_no_stability,ensemble_r2_no_stability,full_r2_no_stability,ensemble_relative_error_no_stability,full_relative_error_no_stability,ensemble_mae_no_stability,full_mae_no_stability,O_hat_count_no_stability,ensemble_mse_scaled_stability,full_mse_scaled_stability,ensemble_rmse_scaled_stability,full_rmse_scaled_stability,ensemble_r2_stability,full_r2_stability,ensemble_relative_error_stability,full_relative_error_stability,ensemble_mae_stability,full_mae_stability,G_hat_count,O_hat_count_stability,O_hat,ensemble_mse_scaled_diff,ensemble_rmse_scaled_diff,ensemble_r2_diff,ensemble_relative_error_diff,ensemble_mae_diff
US-KS1,0.000914639232828,0.0009842068500405,0.030243003039183,0.0313720711786865,0.8103129004231671,0.7958852670351744,0.0314822694857903,0.0344935722593082,0.0185919542391047,0.0202254885503853,52,0.0009790823958489,0.0009842068500405,0.0312902923579978,0.0313720711786865,0.7969480279770077,0.7958852670351746,0.0342652294378039,0.0344935722593082,0.0201024765775575,0.0202254885503853,104,6,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR']]",6.444316302089991e-05,0.0010472893188148008,-0.01336487244615936,0.0027829599520136014,0.0015105223384528008
US-KS2,0.007469799021752,0.0071263122452323,0.0864279990613692,0.08441748779271,0.2468728858502654,0.2815042332259534,0.0882289198171324,0.0865660876410635,0.0555824277602695,0.0545855405559342,52,0.0082363189555615,0.0071263122452322,0.0907541677035358,0.0844174877927095,0.1695900909575092,0.2815042332259616,0.0916450514488324,0.0865660876410631,0.0576787450171987,0.054585540555934,103,6,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR']]",0.0007665199338094987,0.004326168642166589,-0.07728279489275619,0.003416131631699987,0.0020963172569292005
US-KS3,0.0002872575843787,0.0002994709469205,0.0169486750036329,0.0173052288895744,0.5868225691464292,0.5692554585407562,0.0301624355762919,0.0310747562597241,0.0112648090814873,0.011603112877909,52,0.0003414539394447,0.0002994709469205,0.0184784723244294,0.0173052288895744,0.508869150453592,0.5692554585407561,0.0341679640070002,0.0310747562597241,0.0127082937858531,0.011603112877909,103,6,"[['Tair', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI'], ['Tair', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LAI'], ['vpd', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI'], ['LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['vpd', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI'], ['LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR']]",5.419635506599999e-05,0.0015297973207964999,-0.07795341869283712,0.0040055284307083,0.0014434847043658001
US-LWW,0.0034649127306733,0.0034700521399992,0.0588635093302575,0.058907148462638,-0.5066413947749349,-0.5088761543308242,0.1110959799831059,0.1111312290099673,0.0436908791235591,0.0437148173748425,58,0.0034700521399992,0.0034700521399992,0.058907148462638,0.058907148462638,-0.5088761543308244,-0.5088761543308233,0.1111312290099673,0.1111312290099672,0.0437148173748425,0.0437148173748424,104,8,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR']]",5.139409325899923e-06,4.363913238049355e-05,-0.002234759555889587,3.524902686140308e-05,2.3938251283397993e-05
US-Lin,0.0087436725392693,0.0087709113866394,0.0935076068524337,0.0936531440296557,0.3956241154413638,0.3937413250692695,0.1452325729128759,0.145349907879421,0.0662983100368852,0.0664145371399322,52,0.0087531711571868,0.0087709113866394,0.093558383681992,0.0936531440296557,0.3949675565892105,0.3937413250692696,0.1455207662760596,0.145349907879421,0.0664067604734358,0.0664145371399322,103,6,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR']]",9.498617917500299e-06,5.077682955829943e-05,-0.0006565588521532661,0.0002881933631836975,0.00010845043655059727
US-Los,0.0024520527507914,0.0024436501426805,0.0495182062557948,0.0494332898225529,0.6773986341264845,0.6785041131389613,0.0633255063858525,0.0634881858042868,0.0351695008438095,0.0351830021539152,52,0.002443585546624,0.0024436501426805,0.0494326364522878,0.049433289822553,0.6785126116413025,0.6785041131389602,0.0634834529449077,0.0634881858042846,0.0351847128178158,0.0351830021539132,103,6,"[['vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR']]",-8.467204167400284e-06,-8.556980350699767e-05,0.0011139775148180098,0.00015794655905519706,1.521197400630031e-05
US-MOz,0.0016717957857952,0.0016722683844005,0.0408875994134564,0.040893378246368,0.6747729291271005,0.6746809909481744,0.0661808676406757,0.0663190780414915,0.0305531440617448,0.0306072439454938,52,0.0016725595136172,0.0016722683844005,0.0408969377046408,0.040893378246368,0.6746243553810728,0.6746809909481744,0.0663053254853791,0.0663190780414915,0.0306018561055597,0.0306072439454938,103,6,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR']]",7.637278220001299e-07,9.338291184400604e-06,-0.00014857374602772477,0.00012445784470339893,4.871204381489899e-05
US-Me1,0.0032978065812274,0.003308243736359,0.0574265320320442,0.0575173342250753,0.5954659300431981,0.5941856291097847,0.1084798477316802,0.109208076921392,0.0393985043789103,0.0396191975430334,52,0.0033085774163203,0.003308243736359,0.057520234842361,0.0575173342250753,0.594144697384561,0.5941856291097848,0.1091713722313845,0.109208076921392,0.0396112592560058,0.0396191975430334,103,6,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR']]",1.0770835092900003e-05,9.37028103167939e-05,-0.0013212326586371503,0.0006915244997042908,0.0002127548770955029
US-Me2,0.0015674921729703,0.0015861827420754,0.0395915669425993,0.0398269097731101,0.7456201922845974,0.7425870011420579,0.0572438076727481,0.0576466011161671,0.0251374730016428,0.025275583829106,52,0.0015868116205341,0.0015861827420754,0.0398348041357568,0.0398269097731101,0.7424849438660173,0.7425870011420574,0.0576427335688721,0.0576466011161672,0.0252744748165276,0.025275583829106,103,6,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR']]",1.9319447563800104e-05,0.0002432371931575042,-0.00313524841858015,0.0003989258961239958,0.0001370018148847997
US-Me3,0.0024098549091089,0.0023956167076721,0.049090273060036,0.0489450376204994,0.6287894638388674,0.63098269562612,0.0624949082441313,0.0624268910209379,0.0331820547867861,0.0330985537538982,52,0.0023934098834964,0.0023956167076719,0.0489224885251813,0.0489450376204977,0.6313226316041503,0.6309826956261453,0.0624483400733663,0.0624268910209537,0.0330998045634048,0.0330985537539022,104,6,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR']]",-1.6445025612499883e-05,-0.0001677845348546994,0.0025331677652828954,-4.6568170765003136e-05,-8.225022338129856e-05
