,ensemble_mse_scaled_diff,ensemble_rmse_diff
count,290.0,290.0
mean,2.7096285184126917e-05,0.0002282620128315358
std,0.00022154675809911577,0.0013972292639758725
min,-0.0004662799498332997,-0.003883622496236
25%,-4.255133715375136e-06,-6.465601880107676e-05
50%,5.0755022350999724e-06,6.694219174579845e-05
75%,2.1879977659625062e-05,0.00029118793013692586
max,0.0032744940271918,0.016117091613951695
