cluster,mse,r2,num_samples
0,0.00030430997,0.7341446876525879,830631
1,0.0003152434,0.7182118892669678,442086
2,0.00020577705,0.7798213362693787,362958
3,0.00037195283,0.7639537453651428,363193
4,0.00016671213,0.8377299308776855,318458
5,0.000461183,0.7623706459999084,990018
6,0.00037391402,0.7318748235702515,776366
7,5.9745464e-05,0.6619206666946411,707263
8,0.00037944075,0.7460564970970154,379925
9,0.0002920052,0.7797625660896301,685888
