,site,longitude,latitude,balanced_cluster
144,IT-Noe,8.1511694,40.606176,9
145,IT-PT1,9.061038889,45.20087222,5
146,IT-Ren,11.43369,46.58686,5
147,IT-Ro1,11.93001,42.40812,0
148,IT-Ro2,11.92093,42.39026,0
149,IT-SR2,10.290954,43.732026,5
150,IT-SRo,10.28444444,43.72786111,5
151,IT-Tor,7.578055,45.84444,5
152,JP-SMF,137.0786,35.261663,2
153,MX-Tes,-109.2977,27.8446,8
154,MY-PSO,102.3062,2.973,2
155,NL-Hor,5.071301,52.24035,0
156,NL-Loo,5.743556,52.166581,0
157,PA-SPn,-79.6346,9.318139833,4
158,PA-SPs,-79.63142983,9.313779833,4
159,RU-Che,161.34143,68.61304,2
160,RU-Cok,147.4942778,70.82913889,2
161,RU-Fy2,32.901878,56.447603,9
162,RU-Fyo,32.9220833,56.4615278,9
163,RU-Ha1,90.00215,54.72517,2
164,SD-Dem,30.4783,13.2829,4
165,SE-Deg,19.556539,64.182029,0
166,SE-Htm,13.41897,56.09763,6
167,SE-Lnn,13.101767539978,58.3406295776367,6
168,SE-Nor,17.47950278,60.08649722,6
169,SE-Ros,19.738,64.1725,0
170,SE-Svb,19.7745,64.25611,0
171,SJ-Adv,15.923,78.186,4
172,US-A32,-97.8198,36.8193,8
173,US-AR1,-99.42,36.4267,8
174,US-AR2,-99.5975,36.6358,8
175,US-ARM,-97.4888,36.6058,8
176,US-ARb,-98.0402,35.5497,8
177,US-ARc,-98.04,35.5465,8
178,US-Atq,-157.4089,70.4696,7
179,US-BZB,-148.3208,64.6955,7
180,US-BZF,-148.3121,64.7013,7
181,US-BZS,-148.3235,64.6963,7
182,US-BZo,-148.33,64.6936,7
183,US-Bi1,-121.5042,38.1022,1
184,US-Bi2,-121.535,38.109,1
185,US-Blo,-120.6328,38.8953,1
186,US-CF1,-117.0821,46.7815,1
187,US-CF2,-117.0908,46.784,1
188,US-CF3,-117.1261,46.7551,1
189,US-CF4,-117.1285,46.7518,1
190,US-CRT,-83.3471,41.6285,3
191,US-CS1,-89.5379,44.1031,3
192,US-CS3,-89.5727,44.1394,3
193,US-CS4,-89.5475,44.1597,3
194,US-EDN,-122.114,37.6156,7
195,US-GLE,-106.2399,41.3665,7
196,US-Goo,-89.8735,34.2547,8
197,US-HB1,-79.1957,33.3455,8
198,US-HWB,-77.8488,40.8608,8
199,US-Hn3,-119.4614,46.6878,1
200,US-Ho2,-68.747,45.2091,4
201,US-IB2,-88.241,41.8406,3
202,US-ICs,-149.311,68.6058,7
203,US-ICt,-149.3041,68.6063,7
204,US-Ivo,-155.7503,68.4865,7
205,US-Jo2,-106.6032,32.5849,7
206,US-KFS,-95.1907,39.0561,1
207,US-KLS,-97.5684,38.7745,8
208,US-KS1,-80.6709,28.4583,4
209,US-KS2,-80.6715,28.6086,9
210,US-KS3,-80.7427,28.7085,9
211,US-LWW,-97.9789,34.9604,8
212,US-Lin,-119.8423,36.3566,1
213,US-Los,-89.9792,46.0827,3
214,US-MOz,-92.2,38.7441,3
215,US-Me1,-121.5,44.5794,1
216,US-Me2,-121.5574,44.4523,1
217,US-Me3,-121.6078,44.3154,1
218,US-Me4,-121.6224,44.4992,1
219,US-Me5,-121.5668,44.4372,1
220,US-Me6,-121.6078,44.3233,1
221,US-Mpj,-106.2377,34.4384,7
222,US-Myb,-121.7651,38.0498,1
223,US-NC1,-76.7119,35.8118,8
224,US-NC4,-75.9038,35.7879,6
225,US-NR1,-105.5464,40.0329,7
226,US-ONA,-112.4524,40.1776,1
227,US-OWC,-82.5125,41.3795,3
228,US-Oho,-83.8438,41.5545,3
229,US-Prr,-147.4876,65.1237,7
230,US-Ro1,-93.0898,44.7143,3
231,US-Ro4,-93.0723,44.6781,3
232,US-Ro5,-93.0576,44.691,3
233,US-Ro6,-93.0578,44.6946,3
234,US-SRC,-110.8395,31.9083,7
235,US-SRG,-110.8277,31.7894,7
236,US-SRM,-110.8661,31.8214,7
237,US-Seg,-106.7019,34.3623,7
238,US-Ses,-106.7442,34.3349,7
239,US-Sne,-121.7547,38.0369,1
240,US-Snf,-121.7272,38.0402,1
241,US-Syv,-89.3477,46.242,3
242,US-Ton,-120.966,38.4316,1
243,US-Tw3,-121.6467,38.1159,1
244,US-Tw4,-121.6414,38.103,1
245,US-Twt,-121.653,38.1087,1
246,US-Var,-120.9507,38.4133,1
247,US-WCr,-90.0799,45.8059,3
248,US-WPT,-82.9962,41.4646,3
249,US-Whs,-110.0522,31.7438,7
250,US-Wi0,-91.0814,46.6188,3
251,US-Wi1,-91.2329,46.7305,3
252,US-Wi2,-91.1528,46.6869,3
253,US-Wi3,-91.0987,46.6347,3
254,US-Wi4,-91.1663,46.7393,3
