site_left_out,mse_scaled,rmse_scaled,r2_scaled,mae_scaled,relative_error
US-ONA,0.0013308068,0.036480226,-0.1072090864181518,0.023258496,0.04133932
US-OWC,0.0004160169,0.020396493,0.706540584564209,0.013704519,0.025168998
US-Oho,0.00038346517,0.019582266,0.8321869969367981,0.010816104,0.018882383
US-Prr,0.00014521251,0.012050415,-0.1631219387054443,0.005725775,0.010978248
US-Ro1,0.0005958187,0.024409397,0.6600333452224731,0.009724505,0.016789403
US-Ro4,0.00044601902,0.021119162,0.6898102164268494,0.009622617,0.016713953
US-Ro5,0.0006145172,0.024789458,0.6827090978622437,0.009949455,0.01744376
US-Ro6,0.0008286173,0.028785713,0.260708212852478,0.012792671,0.023280296
US-SRC,1.3428813e-05,0.0036645345,0.473677396774292,0.0023386257,0.0045995815
US-SRG,0.00011918253,0.010917075,0.4503000378608703,0.0065443553,0.012653398
US-SRM,5.4443968e-05,0.0073786154,0.4593589901924133,0.0041525667,0.0080415765
US-Seg,5.5886005e-05,0.007475694,-0.3774747848510742,0.0040175244,0.007871292
US-Ses,1.7570623e-05,0.0041917325,-0.0835155248641967,0.0032561352,0.006451377
US-Sne,0.00027933565,0.016713338,0.3215633034706116,0.010206712,0.019433204
US-Snf,0.0004293468,0.020720685,0.5767613649368286,0.013186711,0.024091473
US-Syv,0.00040884258,0.020219857,0.6489663124084473,0.011424097,0.020818546
US-Ton,0.00021383584,0.014623127,0.569543719291687,0.008381203,0.016123673
US-Tw3,0.0014305244,0.037822273,0.3717455267906189,0.02206685,0.037243523
US-Tw4,0.0001316227,0.011472694,0.5555827021598816,0.007477403,0.014438455
US-Twt,0.0012194547,0.034920692,0.3753084540367126,0.016688982,0.028251829
US-Var,0.00043549936,0.020868622,0.2833907008171081,0.013209775,0.02513378
US-WCr,0.0007525769,0.027433135,0.4474229216575622,0.013116057,0.023484118
US-WPT,0.00030812217,0.01755341,0.3826955556869507,0.011042597,0.021279424
US-Whs,1.4069716e-05,0.003750962,0.4586895704269409,0.0022632321,0.0044627185
US-Wi0,0.00059633574,0.024419986,0.6234235763549805,0.0142495325,0.025546081
US-Wi1,0.0014231154,0.0377242,0.6729059815406799,0.022530623,0.03775949
US-Wi2,0.0005710332,0.023896301,0.2258239984512329,0.013012836,0.02419694
US-Wi3,0.0011314702,0.033637334,0.4162634015083313,0.019940937,0.035320114
US-Wi4,0.00058708905,0.02422992,0.6849470138549805,0.014952871,0.026836263
US-Wi5,0.00026876866,0.016394166,0.749901533126831,0.008584185,0.016200203
US-Wi6,0.00023134926,0.015210169,0.5019674301147461,0.009306801,0.018029572
US-Wi7,0.0003804664,0.019505547,0.5170936584472656,0.012583525,0.023957923
US-Wi8,0.00079921714,0.028270429,-0.0210168361663818,0.017737154,0.03273856
US-Wi9,0.00046237168,0.02150283,0.3773348927497864,0.013252011,0.025471995
US-Wjs,6.049385e-05,0.0077777794,0.5407375693321228,0.00470895,0.009008971
US-Wkg,4.27847e-05,0.0065410016,0.5114286541938782,0.0036907995,0.007176715
US-xAE,0.00013406802,0.011578774,0.5329681634902954,0.006159058,0.011710098
US-xBR,0.0007013817,0.026483612,0.4935328364372253,0.0143707795,0.026077837
US-xCL,0.00030824775,0.017556986,0.6649414300918579,0.009315517,0.01711638
US-xCP,4.6246143e-05,0.006800452,0.5112137198448181,0.003447768,0.006696175
US-xDC,0.000110546076,0.01051409,0.6913962364196777,0.0048767254,0.009194897
US-xDL,0.00068540825,0.026180303,0.6904672384262085,0.014602192,0.025658239
US-xDS,0.00015400116,0.012409721,0.7575163245201111,0.007344025,0.013766402
US-xGR,0.0005812044,0.024108183,0.7676432132720947,0.014144802,0.025434077
US-xHA,0.00035820034,0.01892618,0.8135431408882141,0.010447616,0.019003537
US-xHE,0.00015492894,0.012447045,-0.1105706691741943,0.0066633304,0.012809286
US-xJE,0.00045023696,0.021218788,0.7279323935508728,0.012200823,0.021944059
US-xKA,0.00038000717,0.019493772,0.4965938925743103,0.0091101825,0.016609132
US-xKZ,0.00039875103,0.019968752,0.5728250741958618,0.009659781,0.017651431
