site_left_out,mse_scaled,r2_scaled,relative_error,mae_scaled,rmse_scaled
PA-SPs,0.0003654517,0.8557932376861572,0.021692501,0.012023289,0.019116791
RU-Che,1.8565224e-05,0.8328857421875,0.004902692,0.0025256614,0.0043087383
RU-Cok,4.9516475e-05,0.7238834500312805,0.009032875,0.0046894713,0.0070367944
RU-Fy2,0.00017019779,0.8879366517066956,0.013471825,0.007461857,0.013045987
RU-Fyo,0.0001169974,0.8989831209182739,0.011798452,0.0064170887,0.010816533
RU-Ha1,5.1993695e-05,0.8078138828277588,0.008054173,0.0042326637,0.0072106654
SD-Dem,0.00024081698,0.3766091465950012,0.013811848,0.0075088507,0.015518279
SE-Deg,0.00016362185,-2.007009983062744,0.013387929,0.0068904394,0.012791475
SE-Htm,0.00031789986,0.8274939060211182,0.019095672,0.010783524,0.017829746
SE-Lnn,0.000109628214,0.8682836890220642,0.008865385,0.0048199305,0.010470349
SE-Nor,9.820554e-05,0.8979994058609009,0.011699989,0.0062655993,0.009909871
SE-Ros,5.3611937e-05,0.894708514213562,0.008067619,0.0042864466,0.007322017
SE-Svb,7.483451e-05,0.8937637209892273,0.00923536,0.0049599754,0.008650694
SJ-Adv,8.229453e-05,0.1357913613319397,0.010629821,0.005532916,0.009071633
US-A32,0.0010867324,0.3848158717155456,0.030161329,0.017514355,0.032965623
US-AR1,0.00013224797,0.4463440179824829,0.01229389,0.0063798055,0.011499912
US-AR2,9.971265e-05,0.1832820177078247,0.011070132,0.0056028995,0.009985622
US-ARM,0.00037572184,0.580513596534729,0.020594379,0.011146015,0.019383546
US-ARb,0.00034600668,0.725278377532959,0.019663751,0.010742563,0.018601255
US-ARc,0.00020661044,0.8094676733016968,0.016302126,0.008842681,0.01437395
US-Atq,2.5218125e-05,0.4830812215805053,0.005807633,0.0029784238,0.0050217654
US-BZB,3.4636287e-05,0.8040692210197449,0.0067857183,0.0035156552,0.00588526
US-BZF,6.6857574e-05,0.7481532096862793,0.009325781,0.0048425104,0.008176648
US-BZS,8.316598e-05,0.8069310188293457,0.009886876,0.005211573,0.009119539
US-BZo,9.8497105e-05,0.554764986038208,0.010411328,0.005347927,0.009924571
US-Bi1,0.00093373144,0.647237241268158,0.028806495,0.016869195,0.03055702
US-Bi2,0.0010211446,0.7169007062911987,0.026308332,0.015760807,0.031955354
US-Blo,0.00017825385,0.8213334083557129,0.015733648,0.00857429,0.013351174
US-CF1,0.00018906222,0.8047975897789001,0.010280376,0.0057575703,0.01374999
US-CF2,0.00012649351,0.8518849611282349,0.0097013125,0.0053065056,0.011246934
US-CF3,0.0003210571,0.6736094951629639,0.012242978,0.0069508273,0.017918067
US-CF4,0.00022983665,0.7794172763824463,0.012659718,0.007037616,0.015160364
US-CRT,0.0010871715,0.3243568539619446,0.028545806,0.015437045,0.032972284
US-CS1,0.00020515463,0.8389891386032104,0.011030401,0.006043625,0.01432322
US-CS3,0.00032999253,0.800864040851593,0.014908386,0.008411078,0.018165696
US-CS4,0.00027575626,0.8355836272239685,0.013988846,0.007903054,0.01660591
US-EDN,0.00012831969,0.3735131025314331,0.0134363575,0.007080631,0.011327828
US-GLE,8.978974e-05,0.7769213914871216,0.010347769,0.0054394593,0.009475745
US-Goo,0.00035862645,0.7059345245361328,0.020507565,0.0109950155,0.018937435
US-HB1,0.001002316,-1.0394628047943115,0.040649507,0.021367744,0.031659376
US-HWB,0.0011503142,0.5573021173477173,0.04088988,0.017869918,0.033916283
US-Hn3,0.0001568721,0.0758643746376037,0.014184789,0.0074498495,0.012524859
US-Ho2,0.00034289534,0.7480742931365967,0.021224968,0.011381665,0.018517433
US-IB2,0.00020439766,0.8322137594223022,0.013094533,0.0072574527,0.014296771
US-ICs,3.1372692e-05,0.4404422044754028,0.005803739,0.002952323,0.005601133
US-ICt,7.9810714e-05,-0.4955518245697021,0.008560411,0.004367815,0.008933684
US-Ivo,1.4437141e-05,0.8469760417938232,0.0048159612,0.0024654365,0.0037996238
US-Jo2,0.00010573513,-0.4333951473236084,0.011997025,0.0061883572,0.010282759
US-KFS,0.0003336743,0.6155751943588257,0.019069921,0.010137666,0.018266754
US-KLS,0.0004394756,0.5305588841438293,0.020893011,0.011377339,0.020963674
US-KS1,0.00013901312,0.8813066482543945,0.0126086315,0.0068778535,0.011790383
US-KS2,0.0003329356,0.6854380369186401,0.02102807,0.011709952,0.018246522
US-KS3,0.00016349318,0.8006976842880249,0.011821325,0.006370471,0.012786445
US-LWW,0.0004167327,-0.4051167964935303,0.024225581,0.012110051,0.020414032
US-Lin,0.0007570419,-3.205160140991211,0.031259097,0.016030459,0.027514394
US-Los,9.1429356e-05,0.8747560381889343,0.009782017,0.005217681,0.00956187
US-MOz,0.00038400217,0.7299327850341797,0.020420657,0.011033278,0.019595973
US-Me1,4.0699382e-05,0.5660289525985718,0.0074787564,0.003847684,0.0063796067
US-Me2,0.00018172027,0.8181396722793579,0.015146824,0.008281969,0.013480366
US-Me3,0.00012577986,0.518020749092102,0.014550735,0.007531112,0.0112151615
US-Me4,0.0005607326,0.3637772798538208,0.02998751,0.015934665,0.023679793
US-Me5,8.13856e-05,0.7037285566329956,0.010509865,0.0055015893,0.009021397
US-Me6,0.00012335666,0.6879743337631226,0.014026173,0.0073297727,0.011106605
US-Mpj,4.5300665e-05,0.6340149641036987,0.0076734945,0.003997492,0.006730577
US-Myb,0.00054175017,0.5296090841293335,0.022413239,0.012633301,0.023275528
US-NC1,0.00041367547,0.8028250336647034,0.021068744,0.012000959,0.020339014
US-NC4,0.00075753435,0.660779595375061,0.029688817,0.016119096,0.027523343
US-NR1,8.667848e-05,0.814271092414856,0.010363887,0.0054722205,0.009310128
US-ONA,0.0013933438,-0.1592345237731933,0.042347495,0.023862941,0.03732752
US-OWC,0.00044963878,0.6826261281967163,0.026217712,0.014255758,0.021204688
US-Oho,0.00032127413,0.8593955636024475,0.018038945,0.010178358,0.01792412
US-Prr,0.00021811406,-0.7471611499786377,0.0126459235,0.006632198,0.014768685
US-Ro1,0.00050080975,0.7142316699028015,0.01755545,0.009858575,0.02237878
US-Ro4,0.00022272972,0.8450890183448792,0.013901495,0.0076739015,0.014924132
US-Ro5,0.00059014215,0.6952534914016724,0.018791579,0.010553005,0.024292842
US-Ro6,0.0005627257,0.4978852868080139,0.0184188,0.010063613,0.02372184
US-SRC,1.8720855e-05,0.2661933302879333,0.004998684,0.002541443,0.0043267603
US-SRG,9.435747e-05,0.5647655725479126,0.008523639,0.0045156134,0.009713777
US-SRM,5.525707e-05,0.4512662887573242,0.0077432184,0.0040002796,0.00743351
US-Seg,3.1364212e-05,0.2269070744514465,0.005997282,0.0030676466,0.005600376
US-Ses,1.3274304e-05,0.1814016103744506,0.0040807263,0.0020747434,0.003643392
US-Sne,0.0006317285,-0.5343172550201416,0.030825282,0.016010787,0.02513421
US-Snf,0.00029972885,0.7044903039932251,0.018594833,0.010303034,0.01731268
US-Syv,0.00031663908,0.7281175851821899,0.01986443,0.010554011,0.017794356
US-Ton,0.00017148342,0.6547911763191223,0.013710886,0.0071242168,0.013095167
US-Tw3,0.0006990399,0.6930713653564453,0.026123537,0.015172697,0.026439363
US-Tw4,0.00016611014,0.4389228224754333,0.014733805,0.007606501,0.012888372
US-Twt,0.0006583129,0.66273033618927,0.026017494,0.014281512,0.02565761
US-Var,0.00022963165,0.622138261795044,0.017850768,0.009187411,0.015153602
US-WCr,0.00024121968,0.8228768110275269,0.015156867,0.008127447,0.015531248
US-WPT,9.7634904e-05,0.8043870329856873,0.010983744,0.005754133,0.009881037
US-Whs,1.8266588e-05,0.2971821427345276,0.005222115,0.0026462818,0.004273943
US-Wi0,0.00043107386,0.7275396585464478,0.021133972,0.01148215,0.020762319
US-Wi1,0.0011873165,0.726780354976654,0.037188515,0.021840185,0.03445746
US-Wi2,0.00030244098,0.5890871286392212,0.018094787,0.009553525,0.01739083
US-Wi3,0.0003799888,0.80389004945755,0.021382887,0.011547782,0.019493302
US-Wi4,0.00041571032,0.7768691778182983,0.02247329,0.012235621,0.020388976
US-Wi5,0.00029967117,0.7209466695785522,0.016867103,0.008909417,0.017311012
US-Wi6,0.00040306052,0.131683349609375,0.022512969,0.011687725,0.020076368
US-Wi7,0.0006624514,0.1582224369049072,0.032176875,0.017035408,0.025738131
US-Wi8,0.0008241607,-0.0533939599990844,0.034849428,0.018727833,0.028708199
US-Wi9,0.00078602094,-0.0590163469314575,0.033654716,0.017760051,0.028036065
US-Wjs,6.205953e-05,0.5288572311401367,0.00843867,0.004422676,0.007877788
US-Wkg,5.015003e-05,0.4273039102554321,0.0077167265,0.0039729425,0.0070816684
US-xAE,6.950376e-05,0.757826030254364,0.008762962,0.0045836833,0.008336891
US-xBR,0.00019532288,0.8589415550231934,0.014429655,0.007769882,0.013975796
US-xCL,0.00012124546,0.8682319521903992,0.011683015,0.0062231408,0.011011152
US-xCP,5.072556e-05,0.4637572169303894,0.0075405147,0.0038868876,0.007122188
US-xDC,9.595546e-05,0.7320922017097473,0.00866999,0.0045932275,0.009795686
US-xDL,0.00043933452,0.8015656471252441,0.022562617,0.012413481,0.020960309
US-xDS,0.00018870493,0.7028419971466064,0.01634574,0.008710201,0.013736991
US-xGR,0.00041906626,0.8324169516563416,0.023282232,0.012718403,0.020471107
US-xHA,0.0002466621,0.8715832829475403,0.017246692,0.009387896,0.01570548
US-xHE,0.00018615197,-0.3346648216247558,0.012638172,0.006635431,0.013643752
US-xJE,0.0003031925,0.8168038129806519,0.018960584,0.010307622,0.017412424
US-xKA,0.0003978771,0.4728047251701355,0.018913437,0.010138726,0.019946856
US-xKZ,0.0001417174,0.8481950759887695,0.011859511,0.0063805324,0.011904512
US-xMB,1.1684719e-05,-0.3358765840530395,0.004051981,0.0020444833,0.0034182917
US-xML,0.000389711,0.3974753022193908,0.02125611,0.011244508,0.0197411
US-xNG,7.432871e-05,0.7190556526184082,0.008512225,0.0044458057,0.00862141
US-xNQ,1.2249921e-05,0.4634538292884826,0.0042752754,0.0021670198,0.0034999887
US-xRM,4.2907974e-05,0.8223212957382202,0.0073288134,0.0038096874,0.0065504177
US-xSB,0.000103817234,0.8472768068313599,0.011568286,0.006153886,0.010189074
US-xSE,0.00027434196,0.8295336961746216,0.017281173,0.009371133,0.016563272
US-xSR,2.1945112e-05,0.3918169736862182,0.0047564562,0.0024212033,0.004684561
US-xST,9.369475e-05,0.9302340745925904,0.009502061,0.005194484,0.009679604
US-xTA,0.0002611956,0.8213491439819336,0.018323902,0.009887145,0.016161546
US-xTR,0.00014547701,0.8780292868614197,0.012656025,0.0067770826,0.012061385
US-xUK,0.00020471109,0.8634078502655029,0.014290818,0.00777281,0.014307728
US-xUN,0.000115551906,0.8905147314071655,0.0105123725,0.005643613,0.010749508
US-xYE,4.5409528e-05,0.8430960178375244,0.00701913,0.0036732564,0.006738659
ZM-Mon,0.00023057383,0.7866690158843994,0.01731397,0.009561063,0.015184658
