# mse trained on AR-SLu
site,mse
US-Wi9,0.0003294369881584579
US-Wjs,3.918394142888321e-05
US-Wkg,0.0002227980678603027
US-xAE,6.124682147567507e-05
US-xBR,0.00010225760047701499
US-xCL,0.00010002108300006937
US-xCP,0.0006595221500015465
US-xDC,0.00406624507876325
US-xDL,0.00026327046769284714
US-xDS,7.664178311309774e-05
US-xGR,0.0012918208641420769
US-xHA,0.0001685154459802538
US-xHE,0.00036817169365953626
US-xJE,0.00045381465154328333
US-xKA,0.0003653298796366125
US-xKZ,0.0001568725797680491
US-xMB,0.000558407619803395
US-xML,0.0003844442652309207
US-xNG,3.3951014914587795e-05
US-xNQ,0.001922049814028298
US-xRM,0.009291873008568588
US-xSB,0.00039373999582368354
US-xSE,7.669272462632141e-05
US-xSR,0.000664257289907581
US-xST,0.0035853864209795736
US-xTA,0.00013284626648327367
US-xTR,0.0016663578067231408
US-xUK,0.00012723812347071684
US-xUN,0.0014609740486133229
US-xYE,0.0005644870026363875
