group,mse,n_train_sites,n_test_sites
0,1.3142152889818697e-16,9,1
1,1.1003748412277088e-15,9,1
2,1.4977357855047514e-15,9,1
3,1.5518003744094484e-16,9,1
4,6.401030904986871e-16,9,1
5,1.1733662989949218e-16,9,1
6,6.067060022952619e-16,9,1
7,1.6641821973255446e-16,9,1
8,2.590944731630005e-16,9,1
9,6.624466895158447e-16,9,1
