group,mse,n_train_sites,n_test_sites
0,6.014271266141512e-16,25,5
1,6.591530032230419e-16,24,6
2,1.7258416349701104e-15,29,1
3,6.730821791733949e-16,22,8
4,2.563200742204844e-16,27,3
5,1.7248022708956132e-16,28,2
6,1.0800679527709177e-15,29,1
7,3.0948185727096445e-16,28,2
8,1.477545658576286e-15,29,1
9,1.2481842321626793e-15,29,1
