location,mse
44.6781_-93.0723,1.0864141176056769e-15
44.691_-93.0576,1.2804737632180107e-15
44.6946_-93.0578,1.2264746116296787e-15
44.7143_-93.0898,1.207479314218685e-15
44.7171_-0.7693,1.2041077796089725e-14
44.9535_-110.5391,1.3921697709223677e-15
45.2009_9.061,1.9611851657566773e-15
45.2022_10.7427,4.3086462940679334e-15
45.2091_-68.747,2.224783344607688e-15
45.4937_-89.5857,1.2981015440727086e-14
45.5089_-89.5864,6.990465491076844e-15
45.7405_12.7503,1.1523727081670266e-15
45.8059_-90.0799,1.3951461099098972e-15
45.8126_8.6336,1.6933713095855351e-15
45.8444_7.5781,2.193718500372735e-14
45.9542_11.2853,3.3381400307767474e-14
45.9562_11.2813,1.1804446983273483e-15
46.0147_11.0458,1.4580530893323544e-15
46.0827_-89.9792,1.2224827309416055e-15
46.2339_-89.5373,1.8680344036399014e-14
46.242_-89.3477,4.637750606408578e-15
46.5832_9.7904,2.0786701283135438e-14
46.5869_11.4337,1.204949008137173e-15
46.6188_-91.0814,1.559492163089086e-15
46.6249_-91.2982,1.5227911178233257e-15
46.6347_-91.0987,2.5947522901429966e-15
46.6491_-91.0693,2.3552931041992864e-15
46.6531_-91.0858,1.0656315863331227e-15
46.6869_-91.1528,6.904726888295394e-15
46.6878_-119.4614,1.3903662552591178e-15
46.7223_-91.2524,1.0607288656239529e-15
46.7305_-91.2329,1.2502550968240932e-14
46.7393_-91.1663,5.8577604720451336e-15
46.7518_-117.1285,1.3079145124125995e-14
46.7551_-117.1261,5.30795233962707e-14
46.7697_-100.9154,1.2293991425325474e-15
46.7815_-117.0821,4.043877851301246e-14
46.784_-117.0908,2.777991786404884e-15
46.8153_9.8559,1.8769031991944575e-15
47.1158_8.5378,3.263327771915104e-14
47.1167_11.3175,1.5715977041755492e-15
47.1617_-99.1066,1.765756580872549e-15
47.2102_8.4104,3.2542472899574014e-14
47.2858_7.7319,1.2267410763849107e-15
47.2863_7.7343,2.1292737190989667e-15
47.3229_2.2841,1.2145067264852741e-15
47.4781_8.365,1.6330482498234807e-14
47.8064_11.3275,6.0772891482090396e-15
48.1184_-1.7963,7.234231842879569e-15
48.2167_-82.1556,8.313317129573834e-15
48.4764_2.7801,2.4138914941562206e-15
48.6741_7.0646,1.3448676220163813e-15
48.6816_16.9464,1.2585297109809213e-15
48.8442_1.9519,4.436527407512692e-14
49.0246_14.7704,1.1124671463471927e-14
49.036_17.9699,1.6766012183399886e-15
49.0996_13.3047,9.099801505786906e-16
49.119_-122.9951,1.4899179454808771e-15
49.1293_-122.9849,1.778762466037077e-15
49.4437_16.6965,1.169022798852306e-15
49.4944_18.5428,1.5511174885832404e-15
49.5021_18.5369,1.4954873470511325e-15
49.5733_15.0788,1.0224209279800453e-15
49.6925_-74.3421,2.066347009387525e-15
49.8721_3.0206,1.2149442309560667e-15
5.2685_-2.6942,5.730361395750259e-14
5.2788_-52.9249,1.9295206144138366e-14
50.3049_5.9981,1.348537981857969e-14
50.3119_4.968,1.2315906988923344e-15
50.5049_6.331,3.763929804071135e-14
50.5516_4.7462,1.1081723952014867e-15
50.6219_6.3041,1.167940360033821e-14
50.7867_13.7213,1.0638863683900184e-15
50.8659_6.4471,6.904270045506495e-15
50.8706_6.4497,2.423334665994528e-14
50.8931_13.5224,2.535041634059483e-14
50.95_13.5126,1.620732318519978e-15
50.9626_13.5652,8.252063552395512e-15
50.9638_13.4898,4.245392157816539e-15
50.9801_5.6319,1.0950083713266707e-15
51.0792_10.453,1.341254169572008e-15
51.0997_10.9146,1.131592520365508e-15
51.1122_3.8504,1.9355568930019372e-15
51.3076_4.5198,1.325097436773112e-15
51.3282_10.3678,1.9360754145118084e-15
52.0853_11.2192,1.4030814800145458e-15
52.1666_5.7436,7.752711199303904e-15
52.2404_5.0713,5.297974804339394e-16
52.695_-83.9452,1.3072974523315832e-15
52.7008_-83.955,1.1915566514262175e-15
53.6289_-106.1978,1.3232632565856991e-15
53.9872_-105.1178,1.268496948210796e-15
54.0916_-106.0053,2.1356575847894953e-15
54.2103_12.1761,1.589993726533152e-15
54.2539_-105.8775,1.7719110311353594e-14
54.485_-105.8176,8.293117561527272e-15
54.7252_90.0022,1.3121842841409373e-15
55.1119_-122.8414,7.983345612279061e-16
