location,mse
46.0827_-89.9792,1.288765281357135e-15
46.2339_-89.5373,1.6074496975594166e-15
46.242_-89.3477,7.936863342240485e-15
46.5832_9.7904,2.4563626774974494e-14
46.5869_11.4337,1.0275269048824778e-15
46.6188_-91.0814,8.172530671964049e-16
46.6249_-91.2982,1.1237381883276253e-15
46.6347_-91.0987,1.549464255804538e-15
46.6491_-91.0693,7.3787140515308195e-16
46.6531_-91.0858,1.1133136538670132e-15
46.6869_-91.1528,5.699871445336466e-15
46.6878_-119.4614,1.1071432144840695e-15
46.7223_-91.2524,1.20163105911468e-15
46.7305_-91.2329,2.7003916661894257e-15
46.7393_-91.1663,1.9774707819289294e-15
46.7518_-117.1285,4.540897022461052e-14
46.7551_-117.1261,5.726618730053061e-14
46.7697_-100.9154,9.403205664666214e-16
46.7815_-117.0821,3.839865487205737e-14
46.784_-117.0908,7.248242853432404e-16
46.8153_9.8559,1.8355103694550975e-15
47.1158_8.5378,5.1306184289929497e-14
47.1167_11.3175,9.07935183784879e-16
47.1617_-99.1066,2.66338900077422e-15
47.2102_8.4104,4.808861174561683e-14
47.2858_7.7319,1.0798158843252293e-15
47.2863_7.7343,2.1258411039380138e-15
47.3229_2.2841,1.3259043623567467e-15
47.4781_8.365,2.768461428295293e-14
47.8064_11.3275,8.05810986129757e-15
48.1184_-1.7963,6.0072503251545385e-15
48.2167_-82.1556,1.3696826556704576e-14
48.4764_2.7801,1.719103400540799e-15
48.6741_7.0646,1.2107239464114484e-15
48.6816_16.9464,8.517193420528281e-16
48.8442_1.9519,5.749613390517522e-14
49.0246_14.7704,9.191146797281288e-16
49.036_17.9699,1.796454565389577e-15
49.0996_13.3047,8.748062915835657e-16
49.119_-122.9951,1.0887691254405683e-15
49.1293_-122.9849,1.804639120888689e-15
49.4437_16.6965,8.610403032443511e-16
49.4944_18.5428,7.216554588938785e-16
49.5021_18.5369,1.2920629287108855e-15
49.5733_15.0788,8.661152130646345e-16
49.6925_-74.3421,1.7476235275205188e-15
49.8721_3.0206,1.0923469856280765e-15
5.2685_-2.6942,3.842322820055608e-14
5.2788_-52.9249,1.813019303781859e-14
50.3049_5.9981,1.741610291457347e-14
50.3119_4.968,1.3812020027710464e-15
50.5049_6.331,4.222958941829188e-14
50.5516_4.7462,9.208100898039279e-16
50.6219_6.3041,7.99908162636923e-15
50.7867_13.7213,7.468544508730297e-16
50.8659_6.4471,7.346458347586393e-16
50.8706_6.4497,8.12013116680612e-15
50.8931_13.5224,1.5897272893159512e-14
50.95_13.5126,1.5918911665182838e-15
50.9626_13.5652,3.560041511587932e-15
50.9638_13.4898,4.527136628071795e-15
50.9801_5.6319,8.672578282496338e-16
51.0792_10.453,1.2251641996471098e-15
51.0997_10.9146,1.1134704116635933e-15
51.1122_3.8504,1.7553784837147839e-15
51.3076_4.5198,8.417300216755726e-16
51.3282_10.3678,9.434858475790023e-16
52.0853_11.2192,1.1502062611349692e-15
52.1666_5.7436,8.826171564087066e-15
52.2404_5.0713,2.317235034731888e-16
52.695_-83.9452,1.1060577967790473e-15
52.7008_-83.955,6.956784182711154e-16
53.6289_-106.1978,1.2714928095093766e-15
53.9872_-105.1178,1.0828252362573435e-15
54.0916_-106.0053,1.6401319811618422e-15
54.2103_12.1761,1.1776170648639384e-15
54.2539_-105.8775,1.6091331211057354e-14
54.485_-105.8176,8.47575647673884e-15
54.7252_90.0022,1.1177549308601185e-15
55.1119_-122.8414,6.631440115906319e-16
55.4859_11.6446,4.1935390436405753e-14
55.8631_-98.485,6.278940548810911e-15
55.8792_-98.4839,3.180634877359574e-15
55.9058_-98.5247,5.1396274107328525e-15
55.9117_-98.3822,3.4034457370056833e-15
55.9127_8.4048,1.1788558343366624e-14
55.9144_-98.3806,1.1158936936429656e-15
55.9167_-98.9644,8.624505111353754e-16
56.0375_9.1607,1.5898377580553745e-15
56.0737_9.3341,1.0529393482564354e-15
56.0976_13.419,9.21323659386777e-16
56.4476_32.9019,7.914656448581209e-15
56.4615_32.9221,1.4149856957142508e-14
56.4842_9.5872,7.430557027847336e-16
56.6358_-99.9483,7.067742652957962e-16
58.3406_13.1018,1.0974467248589612e-15
60.0865_17.4795,1.0346069230239768e-15
60.2952_22.3916,1.1895197830987802e-14
60.6418_23.9595,1.2342058348922892e-14
61.8326_24.1928,1.048162937935403e-15
61.8474_24.2948,5.3406716742123e-15
63.8757_-149.2133,1.1644831554122934e-15
64.1308_-51.3861,2.6456597208589714e-16
64.1725_19.738,1.173047209330328e-14
64.182_19.5565,1.2405224358590218e-15
64.2561_19.7745,8.7610206619501e-16
64.6936_-148.33,1.1078541033425812e-15
64.6955_-148.3208,1.2232651656383728e-15
64.6963_-148.3235,1.0613432910391804e-14
64.7013_-148.3121,6.902954005789802e-16
65.1237_-147.4876,1.1447398422164427e-15
67.3624_26.6386,1.0707352814255744e-15
67.7549_29.61,1.1590408337838043e-15
67.9872_24.243,1.4047038430709578e-15
67.9972_24.2092,1.0628016966405168e-15
68.4865_-155.7503,1.2784284620674834e-15
68.6058_-149.311,8.679172701100116e-16
68.6063_-149.3041,4.385499345365187e-16
68.613_161.3414,1.7254133602134034e-15
70.4696_-157.4089,8.548830213361349e-16
70.8291_147.4943,1.0288350543145042e-15
74.4733_-20.5503,7.236124905480711e-16
74.4814_-20.5545,1.115473247500944e-15
78.186_15.923,6.344734259261506e-16
9.3138_-79.6314,8.164215811982874e-16
9.3181_-79.6346,7.334902058200916e-15
