site,mse,rmse
AR-SLu,0.0053446069359779,0.073106818669519
AT-Neu,0.0038274775724858,0.0618666111281829
AU-ASM,0.0034612643066793,0.058832510627028
AU-Cpr,0.0176591947674751,0.1328879030140634
AU-Cum,0.0018606433877721,0.0431351757591428
AU-DaP,0.0058762156404554,0.0766564781375682
AU-DaS,0.0082565089687705,0.0908653342522356
AU-Dry,0.0053360424935817,0.0730482203313795
AU-Emr,0.0060712420381605,0.0779181752748392
AU-GWW,0.0040904744528234,0.0639568170942191
AU-Gin,0.0063810585997998,0.0798815285269371
AU-How,0.0024459571577608,0.0494566189479311
AU-Lox,0.0046462542377412,0.0681634376901666
AU-RDF,0.0066801384091377,0.0817321136955219
AU-Rig,0.0118027534335851,0.1086404778781148
AU-Rob,0.0079810684546828,0.0893368258596802
AU-Stp,0.0055052693933248,0.0741975026084089
AU-TTE,0.0019795503467321,0.044492138032827
AU-Wac,0.0073839114047586,0.0859296887272303
AU-Whr,0.0017537372186779,0.0418776458110767
AU-Wom,0.0051183206960558,0.0715424398245956
AU-Ync,0.0074372263625264,0.0862393550678947
BE-Bra,0.0016883665230125,0.0410897374415135
BE-Dor,0.0023542547132819,0.0485206627457003
BE-Lcr,0.00374097796157,0.0611635345738784
BE-Lon,0.0058074225671589,0.0762064470183391
BE-Maa,0.0054212659597396,0.0736292466329765
BE-Vie,0.0040704715065658,0.0638002469161821
BR-Npw,0.0037818073760718,0.0614964013261899
BR-Sa3,0.0072741759940981,0.0852887800012298
CA-ARB,0.0056101591326296,0.074900995538308
CA-ARF,0.0052785454317927,0.0726535988908514
CA-DB2,0.0011643026955425,0.0341218800118424
CA-DBB,0.0095336716622114,0.0976405226440918
CA-Gro,0.0020536729134619,0.0453174680830904
CA-LP1,0.005826705135405,0.0763328575084482
CA-NS1,0.0044377236627042,0.0666162417335609
CA-NS2,0.0052788057364523,0.0726553902780264
CA-NS3,0.0053681661374866,0.0732677701140596
CA-NS4,0.0111409090459346,0.1055505047166269
CA-NS5,0.0052545457147061,0.0724882453554104
CA-NS6,0.0067742215469479,0.0823056592644026
CA-NS7,0.0055402372963726,0.0744327703123607
CA-Oas,0.0054253293201327,0.0736568348500852
CA-Obs,0.0054970849305391,0.0741423288718336
CA-Qfo,0.0022613641340285,0.0475538025191314
CA-SF1,0.0047143008559942,0.0686607664972815
CA-SF2,0.0871357694268226,0.2951876850866625
CA-SF3,0.0050211553461849,0.070860111107625
CA-TP1,0.005303562618792,0.0728255629486793
CA-TPD,0.0035292145330458,0.0594071926036392
CH-Aws,0.002560043008998,0.0505968675808892
CH-Cha,0.0044915508478879,0.0670190334747375
CH-Dav,0.0005430551245808,0.0233035431765399
CH-Fru,0.0032874988391995,0.0573367145832366
CH-Lae,0.0023844798561185,0.0488311361338087
CH-Oe1,0.0073404759168624,0.0856765774109965
CH-Oe2,0.0027907777111977,0.0528278119099942
CN-Cha,0.0076029258780181,0.0871947583173331
CN-Cng,0.0050857467576861,0.0713144218071361
CN-Dan,0.0056890095584094,0.0754255232557882
CN-Din,0.0048074121586978,0.0693355043155946
CN-Du2,0.0080352379009127,0.0896394885132259
CN-Du3,0.0121953869238495,0.110432725782938
CN-Ha2,0.011136669665575,0.1055304205694975
CN-HaM,0.0167445596307516,0.1294007713684567
CN-Qia,0.0033062354195863,0.0574998732136541
CN-Sw2,0.0211364664137363,0.1453838588486918
CZ-BK1,0.0033335101325064,0.0577365580244137
CZ-BK2,0.0067679472267627,0.0822675344638623
CZ-KrP,0.0035357482265681,0.0594621579373646
CZ-Lnz,0.0047762147150933,0.0691101636164564
CZ-RAJ,0.0034578621853142,0.0588035899015893
CZ-Stn,0.0023960166145116,0.0489491227144226
CZ-wet,0.0046096658334136,0.0678945199070853
DE-Geb,0.0025224895216524,0.0502243917001735
DE-Gri,0.0035987480077892,0.0599895658243102
DE-Hai,0.0051346514374017,0.0716564821729463
DE-HoH,0.0041701938025653,0.0645770377345178
DE-Hte,0.0035018292255699,0.0591762555892983
DE-Hzd,0.0089754899963736,0.0947390626741348
DE-Kli,0.0030997837893664,0.0556757019656374
DE-Lkb,0.0052124005742371,0.0721969568211646
DE-Lnf,0.0045359469950199,0.0673494394558701
DE-Obe,0.0034965502563863,0.0591316349882734
DE-RuR,0.0026973921339958,0.0519364239623396
DE-RuS,0.005472766701132,0.073978150160247
DE-RuW,0.0021596741862595,0.0464722948245458
DE-Seh,0.0126131325960159,0.1123082036006984
DE-SfN,0.0201335605233907,0.1418927782636973
DE-Tha,0.0028302639257162,0.0532002248652792
DK-Fou,0.0258075147867202,0.1606471748482377
DK-Gds,0.0009686494595371,0.0311231338322013
DK-Skj,0.0121565274894237,0.1102566437427865
DK-Sor,0.0169216357171535,0.1300831876806282
DK-Vng,0.0032936625648289,0.0573904396640154
ES-Abr,0.0122775239869952,0.1108039890391822
ES-Agu,0.0060787056572735,0.0779660545190888
ES-Amo,0.0060260072350502,0.0776273613814755
ES-LJu,0.0063302814960479,0.0795630661553963
ES-LM1,0.0033528718631714,0.0579039883183486
ES-LM2,0.0038661365397274,0.0621782642064528
FI-Hyy,0.0045521887950599,0.0674699102938481
FI-Ken,0.0053030643612146,0.0728221419707951
FI-Let,91365.0546875,302.2665292213149
FI-Lom,0.0097054792568087,0.0985163908027936
FI-Qvd,0.0055412831716239,0.0744397956178276
FI-Sii,0.0036707941908389,0.060587079405092
FI-Sod,0.0049214423634111,0.0701529925477964
FI-Var,0.0038650352507829,0.0621694076759861
FR-Aur,0.0025567628908902,0.0505644429504591
FR-Bil,0.0063379444181919,0.0796112078679372
FR-EM2,0.0038230582140386,0.0618308839823482
FR-FBn,0.0042983209714293,0.0655615815201963
FR-Fon,0.0055102379992604,0.0742309773562252
FR-Gri,0.0082844858989119,0.0910191512754978
FR-Hes,0.0041761314496397,0.0646229947436653
FR-LBr,0.0031827397178858,0.0564157754345879
FR-Lam,0.0081673227250576,0.0903732412003553
FR-Mej,0.0037874651607125,0.0615423850749432
FR-Pue,0.0064457156695425,0.0802852145138975
FR-Tou,0.0043740994296967,0.0661369747546468
GF-Guy,0.0105968760326504,0.1029411289652997
GH-Ank,0.002346888417378,0.0484446944192867
GL-NuF,0.0065021864138543,0.0806361359060214
GL-ZaF,0.0058973846025764,0.0767944308044307
GL-ZaH,0.0033023881260305,0.0574664086752475
IT-BCi,0.0055183437652885,0.0742855555628992
IT-BFt,0.0073489532805979,0.0857260361885344
IT-CA1,0.0105546964332461,0.1027360522564797
IT-CA2,0.0083704441785812,0.0914901315912335
IT-CA3,0.0499351471662521,0.2234617353513843
IT-Col,0.0066154398955404,0.0813353545239736
IT-Cp2,0.0172619689255952,0.1313848123855846
IT-Cpz,0.0056410790421068,0.0751071171201961
IT-Isp,0.0043223625980317,0.0657446773361293
IT-La2,0.0065508396364748,0.0809372574064308
IT-Lav,0.0032846725080162,0.0573120625001075
IT-Lsn,0.0066850301809608,0.0817620338602269
IT-MBo,0.0052593913860619,0.0725216614954587
IT-Noe,0.0038462029770016,0.0620177633988977
IT-PT1,0.0089092971757054,0.0943890733914971
IT-Ren,0.0030451940838247,0.0551832772117129
IT-Ro1,0.006141304038465,0.0783664726682592
IT-Ro2,0.005076709203422,0.0712510294902611
IT-SR2,0.0060196975246071,0.0775867097163372
IT-SRo,0.0068430216051638,0.08272255801874
IT-Tor,0.0009900645818561,0.0314652917014308
JP-SMF,0.0104923043400049,0.1024319498008552
MX-Tes,0.0029070992022752,0.0539175222193609
MY-PSO,0.0060535296797752,0.077804432263048
NL-Hor,10.85204029083252,3.2942435081263377
NL-Loo,0.003186363261193,0.0564478809273921
PA-SPn,0.0059648840688169,0.0772326619301503
PA-SPs,0.0060938969254493,0.0780634160503457
RU-Che,0.0047423499636352,0.0688647221996517
RU-Cok,0.0115621294826269,0.1075273429534409
RU-Fy2,0.002651717280969,0.0514948277108393
