group,mse,n_train_sites,n_test_sites
0,2.452210877761639e-16,274,16
1,3.4377739812345897e-16,238,52
2,5.226615584655956e-16,270,20
3,6.621091242534806e-16,212,78
4,6.016430274624622e-16,275,15
5,7.424785820113435e-16,203,87
6,1.2623382221370148e-16,287,3
7,1.5156266126607334e-16,280,10
8,1.5742663912489742e-15,284,6
9,1.430033444676542e-15,287,3
