site_left_out,mse,rmse,r2,relative_error,mae
US-Tw4,0.0003543152546717,0.0188232636562242,-0.1967855094058925,0.0247717176697756,0.0126828482592174
US-Twt,0.0010958593017339,0.0331037656730156,0.4385647093690603,0.0354415086706694,0.0198862035476728
US-Var,0.0006568326215014,0.0256287459993943,-0.0808264108753376,0.0339704566473932,0.0174204684887214
US-WCr,0.0005897107049409,0.0242839598282685,0.5669862685486745,0.0344562245210248,0.0181528225362941
US-WPT,0.0003606776156551,0.0189915143065293,0.2773771487537121,0.0297618684953522,0.0152496885494386
US-Whs,0.0005993446671081,0.0244815168465547,-22.06014352984045,0.0408389350086976,0.0205866883397588
US-Wi0,0.0006198866771576,0.0248975235145512,0.608200462226707,0.0334055607228169,0.0177838323260775
US-Wi1,0.0020920450950805,0.0457388794690088,0.5185884894090144,0.051415608455785,0.0299805352536765
US-Wi2,0.0004755377160932,0.0218068272816848,0.3539083696060493,0.0323757248919059,0.0168083992715493
US-Wi3,0.0006988651668977,0.0264360580816757,0.6393198481889442,0.0367579354738972,0.0198109327628667
US-Wi4,0.0007087565663401,0.0266224823474467,0.6195778029337314,0.0359720246600778,0.0194494946114278
US-Wi5,0.0004113483253754,0.0202817239251361,0.6169531066874001,0.0262935628545709,0.0137400183191862
US-Wi6,0.0004211573245687,0.0205221179357471,0.0926972823389433,0.0277923285062337,0.0141528022015603
US-Wi7,0.0005182791860188,0.0227657458919948,0.3414222128681583,0.0322037764472116,0.0165796115759573
US-Wi8,0.0005559704270353,0.0235790251502341,0.289391159317437,0.0360572680979977,0.018514448200724
US-Wi9,0.0006688529765259,0.0258621920286343,0.0988455863088999,0.0368239574033299,0.0189417540965901
US-Wjs,0.0003336978503966,0.0182673985667539,-1.5333631450182157,0.0306982563619044,0.0156745468913535
US-Wkg,0.0005626287202001,0.0237197959561244,-5.425026463692046,0.0390974197679448,0.0197593763429925
US-xAE,0.000299889709415,0.0173173239680691,-0.044914600047861,0.0269535395179171,0.0138258552699338
US-xBR,0.000504172808199,0.0224537927352821,0.6358960881520894,0.030962277663761,0.0164002031157715
US-xCL,0.0002875484073885,0.0169572523537438,0.6874959767535403,0.0217970924575937,0.0116362149566458
US-xCP,0.0003930659424013,0.0198258907089031,-3.1552770931586016,0.0327029904313782,0.0165451026578167
US-xDC,0.000215784572359,0.014689607631216,0.3975291061821427,0.0228103232886411,0.0116854245803339
US-xDL,0.0009362573856408,0.0305983232488451,0.577120305564264,0.0393580159265851,0.0214768313744743
US-xDS,0.0001501127736843,0.0122520518152802,0.7636139444409504,0.0155181372989303,0.0081838655861902
