test_site,ensemble_mse_scaled,full_mse_scaled,ensemble_rmse_scaled,full_rmse_scaled,ensemble_r2,full_r2,ensemble_relative_error,full_relative_error,ensemble_mae,full_mae,O_hat_count,O_hat
DE-HoH,0.0009171350829554,0.00091589394,0.0302842381934139,0.030263739,0.777324854626187,0.7776261568069458,0.0419832639610447,0.042090636,0.018428393343266,0.018452533,14,"[['hour', 'fPAR', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
DE-Hte,0.0009781382602764,0.0009780505,0.0312752020021682,0.0312738,0.2492823326526377,0.2493496537208557,0.0439976929899163,0.043958824,0.0182969937395234,0.018284483,14,"[['hour', 'fPAR', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
DE-RuS,0.0023359076418508,0.0023533017,0.0483312284330828,0.048510842,0.5270292341512517,0.523507297039032,0.0576776461737936,0.05783998,0.027233516220886,0.027342541,14,"[['hour', 'fPAR', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
DE-Seh,0.0016682428456671,0.0016721609,0.0408441286559916,0.040892065,0.5905658823155655,0.5896042585372925,0.0502361485954945,0.050275218,0.0232169505907027,0.023244105,14,"[['hour', 'fPAR', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
DE-SfN,0.0005015649951204,0.0005105882,0.0223956467895093,0.022596199,0.4317667472576892,0.4215441942214966,0.0350840696487992,0.035643388,0.0141158913014341,0.0143409595,14,"[['hour', 'fPAR', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
ES-LM1,0.0005487018865141,0.0005578439,0.0234243865771164,0.023618719,0.6497175476024384,0.6438814401626587,0.0359324568410777,0.036229655,0.0154088158091561,0.015545981,14,"[['hour', 'fPAR', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
FI-Sod,0.0002319405882626,0.000239026,0.0152295958010266,0.015460466,0.6142486174983711,0.6024645566940308,0.0249889341121162,0.02545103,0.0101209057155838,0.0102983015,14,"[['hour', 'fPAR', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
FR-Fon,0.001643713590913,0.0016624541,0.0405427378319849,0.0407732,0.6782639694975272,0.6745957136154175,0.0592494292019888,0.059522778,0.0255199187267985,0.025664777,14,"[['hour', 'fPAR', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
FR-Gri,0.0016937818816811,0.0016960363,0.0411555814159044,0.04118296,0.5265521630350096,0.5259219408035278,0.0484839115459612,0.048583165,0.0220817244041742,0.022129415,14,"[['hour', 'fPAR', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
FR-LBr,0.0014308536145889,0.0014413856,0.0378266257362313,0.037965585,0.5371867123316874,0.5337800979614258,0.0558916933209938,0.05623066,0.0251445548233604,0.025281848,14,"[['hour', 'fPAR', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
