site,ensemble_mse_scaled,full_mse_scaled,O_hat_count,ensemble_rmse,full_rmse
US-GLE,0.0008092575814436,0.0007976724,52,0.0284474529869301,0.028243094731279
US-Goo,0.0028281908644121,0.0027737985,52,0.0531807377197054,0.052666863396257
US-HB1,0.0006552839517012,0.0006795403,56,0.0255985146385722,0.0260679937854833
US-HWB,0.0010983509349547,0.0011026565,52,0.0331413779881691,0.0332062719979223
US-Hn3,0.000264691622443,0.00028989656,52,0.0162693460975848,0.0170263489920769
US-Ho2,0.0010991721711173,0.0011063233,52,0.033153765564673,0.0332614386339496
US-IB2,0.0005751196262773,0.0005993648,52,0.0239816518671525,0.02448192802865
US-ICs,7.672606752591705e-05,7.82225e-05,52,0.0087593417290294,0.0088443484779829
US-ICt,5.481037114490098e-05,5.6080316e-05,52,0.0074034026734266,0.0074886791892829
US-Ivo,0.0030282460314421,0.0031544045,52,0.0550295014645971,0.0561640854995432
US-Jo2,0.0010345876278174,0.0010356243,52,0.0321650062617342,0.0321811171341207
US-KFS,0.0005917569113026,0.00061800337,52,0.0243260541663172,0.02485967356986
US-KLS,0.0007446326186616,0.00079595775,52,0.0272879573926228,0.0282127231936231
US-KS1,0.0005887955488139,0.00059361773,52,0.0242651097012541,0.0243642715877163
US-KS2,0.0012246015384545,0.0012132417,52,0.0349943072292408,0.0348316192560724
US-KS3,0.0002805103435316,0.0002743887,52,0.0167484430181315,0.0165646823090574
US-LWW,0.0035470028661586,0.0036459318,64,0.0595567197397455,0.0603815518184155
US-Lin,0.0080583182727187,0.0082038585,52,0.0897681361771464,0.0905751538778709
US-Los,0.0009220146760425,0.00093649025,52,0.0303646945652759,0.0306021281939671
US-MOz,0.0007729574441838,0.0007754224,53,0.0278021122252213,0.0278464073086637
US-Me1,0.002559186937955,0.0026017027,52,0.0505884071498105,0.0510068887504423
US-Me2,0.0010864394901671,0.0010875626,52,0.0329611815650941,0.0329782140207743
US-Me3,0.001678172234943,0.001676924,52,0.0409655005454955,0.040950262514421
US-Me4,0.0037744363464673,0.0037158437,52,0.0614364415185913,0.0609577205938673
US-Me5,0.0040169169543692,0.0039425744,52,0.0633791523639216,0.0627899227583535
US-Me6,0.0022952822094867,0.002292708,52,0.0479091036180672,0.0478822305244858
US-Mpj,0.0034237428029341,0.0034759603,52,0.0585127576083549,0.0589572752084083
US-Myb,0.0034036679055339,0.0034276254,52,0.0583409625009212,0.0585459255627579
US-NC1,0.0035526824700359,0.003523212,52,0.0596043829767232,0.0593566508489149
US-NC4,0.0009893802693326,0.0010026759,52,0.0314544157366275,0.0316650580293167
US-NR1,0.0015360216374814,0.0015520012,52,0.0391921119293334,0.0393954464373739
US-ONA,0.0004622203399144,0.0004663489,52,0.0214993102195023,0.0215951128730553
US-OWC,0.0015375196558994,0.0016571829,52,0.0392112184954688,0.0407085113950387
US-Oho,0.0011613303978639,0.0011653852,52,0.0340782980482285,0.0341377386480124
US-Prr,0.0005630223264949,0.0005620478,52,0.023728091505532,0.0237075473214754
US-Ro1,0.0013827470351361,0.0014151937,52,0.0371853067102599,0.037619060328509
US-Ro4,0.0009216353580613,0.0009815707,52,0.0303584478862358,0.031330028726447
US-Ro5,0.0017745222219103,0.0018353973,52,0.0421250783015331,0.0428415370872708
US-Ro6,0.0029235027407498,0.0028827467,52,0.0540694251934473,0.0536912162276102
US-SRC,0.0008063749930401,0.00081581017,52,0.0283967426484112,0.0285623908313012
US-SRG,0.0014641968751603,0.0015143033,52,0.0382648255603014,0.0389140501618631
US-SRM,0.0007570709411246,0.0007455361,52,0.0275149221537077,0.027304506953981
US-Seg,0.0014648107263099,0.001452444,52,0.0382728458088747,0.0381109433102881
US-Ses,0.0017645600646984,0.0017741416,52,0.0420066669077469,0.0421205603001669
US-Sne,0.002154962181334,0.0021277592,52,0.0464215702161613,0.0461276403038351
US-Snf,0.0063290606513352,0.006322644,56,0.0795553936030436,0.0795150551782491
US-Syv,0.0025508719683428,0.0025600975,52,0.0505061577269821,0.0505974060599948
US-Ton,0.000386140636023,0.0003844531,52,0.0196504614709935,0.0196074756151831
US-Tw3,0.0055979237682296,0.005766238,52,0.0748192740423856,0.0759357491567706
US-Tw4,0.0050665787637891,0.0050499225,52,0.0711799042131211,0.0710628067275702
US-Twt,0.0017948152574767,0.0018264411,52,0.0423652600307929,0.0427368821979329
US-Var,0.0002947275957512,0.00029763015,52,0.0171676322115543,0.0172519607581283
US-WCr,0.0009127667573868,0.00097618543,52,0.0302120300110204,0.0312439662975109
US-WPT,0.0014750752979777,0.0015374126,52,0.038406709023004,0.039209853353462
US-Whs,0.0008720485313112,0.00087765744,52,0.0295304678478211,0.029625283796109
US-Wi0,3.640013064156623e-05,5.618304e-05,52,0.006033252078404,0.0074955346707222
US-Wi1,0.0010206377461534,0.00104111,52,0.0319474215885006,0.0322662362230242
US-Wi2,0.0005461715970901,0.0007794407,52,0.023370314441404,0.0279184652156955
US-Wi3,0.0016443038499034,0.0017281614,52,0.0405500166449213,0.0415711606766036
US-Wi4,0.0019237160835561,0.0019784137,52,0.0438601879106337,0.0444793626303255
US-Wi5,0.0001014924112643,0.00010811141,52,0.0100743442101359,0.010397663679885
US-Wi6,0.0009921828378497,0.0009768059,52,0.0314989339160819,0.0312538941573686
US-Wi7,0.0012987163893064,0.0022577525,52,0.0360377078808627,0.0475158131573058
US-Wi8,0.0012304965526699,0.0011827463,52,0.0350784342961583,0.034391078785057
US-Wi9,0.002690418244578,0.0028839032,52,0.0518692417968298,0.053701985065731
US-Wjs,0.0009268861502452,0.0009212543,52,0.0304448049795888,0.0303521712567651
US-Wkg,0.001278606646643,0.0012872061,52,0.0357576096326781,0.0358776546056176
US-xAE,0.002275181229017,0.0022724571,52,0.0476988598293187,0.047670295782594
US-xBR,0.0007988595337626,0.0008157971,52,0.0282641032718641,0.0285621620330114
US-xCL,0.0003630946377571,0.00036607255,52,0.0190550423184284,0.0191330225003787
US-xCP,0.0005592124689767,0.00055736466,52,0.0236476736483041,0.0236085717484137
US-xDC,0.0009348370822247,0.00099866,52,0.0305751055962968,0.0316015822388689
US-xDL,0.0017332506802684,0.0017425651,52,0.041632327346287,0.0417440426887478
US-xDS,0.0009747701610645,0.0009542137,52,0.0312213094066296,0.0308903496257326
US-xGR,0.0032520727769107,0.0033340068,52,0.0570269478133864,0.0577408590168175
US-xHA,0.0015270558636751,0.0015793834,52,0.0390775621511258,0.0397414569435998
US-xHE,0.000381778640078,0.00038940986,52,0.0195391565856359,0.0197334705513247
US-xJE,0.0015030683167775,0.0015373477,52,0.0387694250251083,0.0392090257466313
US-xKA,0.0035545441449421,0.0037724827,52,0.0596199978609702,0.061420539724102
US-xKZ,0.0009318801151371,0.00092702964,52,0.0305267115021762,0.0304471614440492
US-xMB,0.0026481738784079,0.0020748822,52,0.0514604107873994,0.0455508748543867
US-xML,0.000274242525626,0.00027236124,52,0.0165602694913458,0.016503370564827
US-xNG,0.0003447293777515,0.00036441418,52,0.0185668892858092,0.0190896354077284
US-xNQ,0.0014487487855065,0.0015082243,52,0.038062432732374,0.0388358635799437
US-xRM,0.0019567134546372,0.0019303832,52,0.0442347539230998,0.043936126365441
US-xSB,0.0005759308876932,0.0005845726,52,0.023998560117082,0.0241779362229285
US-xSE,0.0009212860921085,0.00091955916,52,0.030352694972745,0.0303242338732572
US-xSR,0.0007405838224927,0.0007497274,52,0.0272136697726106,0.0273811504506293
US-xST,0.0011990440561729,0.0012207133,52,0.0346272155417223,0.0349387077608774
US-xTA,0.0005681806291318,0.00057768135,52,0.0238365397894031,0.0240350026003743
US-xTR,0.0010915439451784,0.0011291127,52,0.0330385221397446,0.0336022722445968
US-xUK,0.0009052432520774,0.00092044816,52,0.0300872606276709,0.0303388885755559
US-xUN,0.0008865131911365,0.00091252674,52,0.0297743713810468,0.0302080575343731
US-xYE,0.0011330794659237,0.0011180453,52,0.0336612457571567,0.0334371843910338
ZM-Mon,0.0010706099870704,0.0010828697,52,0.0327201770635551,0.0329069855805724
