site,ensemble_mse_scaled,full_mse_scaled,ensemble_rmse_scaled,full_rmse_scaled,ensemble_r2,full_r2,ensemble_relative_error,full_relative_error,ensemble_mae,full_mae,O_hat_count,O_hat
US-Wi7,0.0010709353444876,0.0026747081,0.0327251485021487,0.05171758,0.1406255484629742,-1.1463253498077393,0.0359477942584439,0.077122554,0.0168208292201464,0.03746789,8,"[['SWdown_clearsky', 'LST_TERRA_Day'], ['SWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
US-Wi8,0.0008869269864623,0.0014042511,0.0297813194211135,0.03747334,-0.0863608309020786,-0.7200100421905518,0.039825573964443,0.05446323,0.0148152485808455,0.021243088,8,"[['Tair'], ['Tair', 'LWdown'], ['Tair', 'IGBP_veg_short'], ['Tair', 'vpd', 'SWdown'], ['Tair', 'LWdown', 'IGBP_veg_short'], ['Tair', 'vpd', 'SWdown', 'LWdown'], ['Tair', 'vpd', 'SWdown', 'IGBP_veg_short'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'IGBP_veg_short']]"
US-Wi9,0.0023932117190229,0.0030132139,0.048920463193054,0.05489275,0.4487581169458704,0.3059494495391845,0.0677176628334572,0.075947806,0.0326965752823215,0.036429137,8,"[['vpd', 'SWdown'], ['vpd', 'SWdown', 'LWdown'], ['vpd', 'SWdown', 'SWdown_clearsky'], ['vpd', 'SWdown', 'IGBP_veg_short'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky'], ['vpd', 'SWdown', 'LWdown', 'IGBP_veg_short'], ['vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short']]"
US-Wjs,0.0012393970321211,0.0012474526,0.0352050711137068,0.035319295,0.6850442191732419,0.6829971075057983,0.0523119760989502,0.052430484,0.0197332146190906,0.019789796,7,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
US-Wkg,0.0018925158627748,0.0019347806,0.043503055786632,0.04398614,0.5659953174078484,0.5563029050827026,0.0462115144576973,0.04700517,0.0231821467583653,0.023495605,7,"[['Tair', 'vpd', 'SWdown', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
US-xAE,0.0036641822265209,0.0051636575,0.060532489016403,0.07185859,0.6477234571085102,0.5035630464553833,0.0720277589185547,0.091521844,0.0293995679838271,0.036221042,7,"[['vpd', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown_clearsky', 'LST_TERRA_Day'], ['vpd', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['vpd', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['vpd', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
US-xBR,0.0010683211394234,0.0010717545,0.0326851822608271,0.03273766,0.8328990097207601,0.8323619961738586,0.0358738632529711,0.035892233,0.0192148708640927,0.019222632,7,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
US-xCL,0.0003915409435274,0.00039384165,0.0197873935506295,0.019845445,0.7888255877341548,0.7875847220420837,0.0298047779503921,0.030078772,0.0107965990744953,0.010905603,7,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
US-xCP,0.0011079772240801,0.0011322025,0.03328629183433,0.033648215,0.5472406642214518,0.5373413562774658,0.0801398123414314,0.08003413,0.0173034635072898,0.017236603,7,"[['Tair', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
US-xDC,0.0011972225817439,0.0013894596,0.0346009043486431,0.037275456,0.5000753143921121,0.4198028445243835,0.0403680022149896,0.045535482,0.0180591075755676,0.020275744,7,"[['Tair', 'vpd', 'SWdown'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky'], ['Tair', 'vpd', 'SWdown', 'IGBP_veg_short'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'IGBP_veg_short', 'LST_TERRA_Day']]"
