group_left_out,mse
0,0.0002786548
1,0.0003818616
2,0.00023288467
3,0.0003328062
4,0.00018013077
5,0.0004846338
6,0.00034761845
7,6.830203e-05
8,0.00046621903
9,0.00029885038
