test_site,ensemble_mse_scaled,full_mse_scaled,ensemble_rmse_scaled,full_rmse_scaled,ensemble_r2,full_r2,ensemble_relative_error,full_relative_error,ensemble_mae,full_mae,G_hat_count,O_hat_count,O_hat
US-xDC,0.0002133015516412,0.0002134185320554,0.0146048468544266,0.0146088511545377,0.4044617042584565,0.4041350947426744,0.0227271890606596,0.0227324838772694,0.0116439140884253,0.0116465791871143,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
US-xDL,0.0009331745416276,0.0009329148309629,0.0305479056831672,0.0305436545122372,0.5785127347768504,0.5786300383818693,0.0392963356530993,0.039282548815185,0.0214406519310538,0.0214337761663401,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
US-xDS,0.0001462324547246,0.000146330767092,0.012092661192831,0.0120967254698146,0.7697243724257524,0.7695695576675781,0.0151003893084313,0.015105748203569,0.0079719105704356,0.0079747209989763,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
US-xGR,0.0010023042667259,0.0010024377335595,0.0316591892935677,0.0316612970921848,0.5991821988227104,0.5991288259253125,0.0413144420822124,0.0413114711941074,0.0225494426654972,0.0225484193945311,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
US-xHA,0.000773067645923,0.0007731364775728,0.0278040940496722,0.0278053318191458,0.5975270802721392,0.5974912452773553,0.0375846511464249,0.0375870902814671,0.0202061483326787,0.020207822780951,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
US-xHE,0.0002270428451545,0.0002272757648086,0.0150679409726261,0.0150756679722223,-0.6278424810838585,-0.629512458869053,0.0238438226997258,0.0238545314250584,0.0121512528509911,0.0121567865607181,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
US-xJE,0.0005355806654186,0.0005355067520441,0.0231426157860045,0.0231410188203583,0.6763892313433915,0.6764338915887349,0.0268406112869575,0.0268311435652187,0.0147370992969232,0.0147324017766949,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
US-xKA,0.0004702685486277,0.0004702925435602,0.0216856761164552,0.0216862293532145,0.3768845615106614,0.3768527677347767,0.0284158927207731,0.0284147249665915,0.0149505242694068,0.0149499282071211,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
US-xKZ,0.0003714114860362,0.000371431795589,0.0192720389693534,0.0192725658797429,0.6021511886636601,0.6021294334629561,0.0264564188772155,0.0264538197945501,0.0139535102740029,0.0139521998141071,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
US-xMB,0.0005678382326416,0.0005677634509948,0.0238293565301626,0.0238277873709425,-63.91913052732025,-63.9105809806226,0.0397727912665346,0.0397919298209039,0.02002968205359,0.020039255137043,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
