site_left_out,mse_scaled,r2_scaled,relative_error,mae_scaled,rmse_scaled
CZ-RAJ,0.007857744,0.5594335794448853,inf,0.080799356,0.088643916
CZ-Stn,0.0034804211,0.6100494861602783,inf,0.043691374,0.058995094
CZ-wet,0.015069433,-0.9304826259613036,inf,0.116718344,0.12275761
DE-Geb,0.012176545,-1.20841646194458,inf,0.10468155,0.11034738
DE-Gri,0.0059817014,0.1636849045753479,inf,0.07201242,0.07734146
DE-Hai,0.004924816,0.6471765041351318,inf,0.059965298,0.07017703
DE-HoH,0.0018441904,0.8405605554580688,inf,0.03212354,0.042944036
DE-Hte,0.0016083877,0.5202454328536987,inf,0.030311981,0.04010471
DE-Hzd,0.01997956,-2.3174755573272705,inf,0.13385338,0.14134908
DE-Kli,0.0022450301,0.7109361886978149,inf,0.030963318,0.047381748
DE-Lkb,0.018401485,-0.1403515338897705,inf,0.12717895,0.13565208
DE-Lnf,0.019050334,0.0390805602073669,inf,0.13134268,0.13802294
DE-Obe,0.0030431643,0.8015546202659607,inf,0.043613303,0.05516488
DE-RuR,0.006032531,0.1905848383903503,inf,0.0727318,0.07766937
DE-RuS,0.007095857,0.3983378410339355,inf,0.07132835,0.08423691
DE-RuW,0.0028273643,0.3083239793777466,inf,0.039995372,0.053172965
DE-Seh,0.011283945,0.4272873401641845,inf,0.08738609,0.106225915
DE-SfN,0.016025575,-0.9396708011627196,inf,0.115220875,0.12659216
DE-Tha,0.002667558,0.7814970016479492,inf,0.042468823,0.05164841
DK-Fou,0.014956604,-0.2465426921844482,inf,0.10317519,0.1222972
DK-Gds,0.016233265,-2.0339550971984863,inf,0.12145806,0.12740983
DK-Skj,0.0037185668,0.4532591104507446,inf,0.051560868,0.06098005
DK-Sor,0.009634388,-0.195413589477539,inf,0.091061085,0.09815492
DK-Vng,0.0056973393,0.6107114553451538,inf,0.06323962,0.07548072
ES-Abr,0.0033925786,0.6933685541152954,inf,0.051756833,0.058245845
ES-Agu,0.009881067,-2.2585978507995605,inf,0.09027675,0.09940356
ES-Amo,0.01103364,-0.4067938327789306,inf,0.09220945,0.10504114
ES-LJu,0.007595045,-0.7094389200210571,inf,0.07394371,0.08714955
ES-LM1,0.0022066948,0.799693763256073,inf,0.030511279,0.04697547
ES-LM2,0.0026377176,0.7830300331115723,inf,0.043433152,0.051358715
